date,open,high,low,close,volume,Name
2018-02-02,85.55,85.8,82.31,82.65,2718375,HLT
2018-02-05,82.13,83.01,79.82,79.91,2386173,HLT
2018-02-06,78.58,80.97,77.78,80.69,4634685,HLT
2018-02-07,80.99,83.28,80.54,82.02,3526731,HLT
2013-02-08,52.69,53.25,52.66,52.86,749812,HOG
2013-02-11,53.51,54.11,53.09,53.49,1671280,HOG
2013-02-12,53.3,53.63,52.94,53.28,1181025,HOG
2013-02-13,53.45,53.98,52.98,53.63,1203092,HOG
2013-02-14,53.19,53.7751,52.91,53.45,1269805,HOG
2013-02-15,53.45,53.56,52.43,52.66,2198646,HOG
2013-02-19,52.66,52.84,52.23,52.4,2056779,HOG
2013-02-20,52.41,52.58,51.53,51.57,1719247,HOG
2013-02-21,51.49,51.5,50.8,51.05,1301736,HOG
2013-02-22,51.17,51.505,50.9,51.21,1443471,HOG
2013-02-25,51.58,52.35,50.57,50.65,2977854,HOG
2013-02-26,50.91,51.36,50.05,51.33,1967034,HOG
2013-02-27,51.22,52.46,51.2,52.23,1746766,HOG
2013-02-28,52.38,53.22,52.25,52.63,1622489,HOG
2013-03-01,52.3,52.74,51.83,52.02,1859058,HOG
2013-03-04,52.0,52.88,51.68,52.87,2077883,HOG
2013-03-05,53.24,53.9,53.08,53.39,1313760,HOG
2013-03-06,53.54,54.13,53.4,53.71,1365048,HOG
2013-03-07,54.3,54.45,53.87,54.43,1501861,HOG
2013-03-08,54.53,54.98,53.83,54.82,1044911,HOG
2013-03-11,54.69,54.93,54.38,54.77,780074,HOG
2013-03-12,54.82,54.9,54.22,54.55,689261,HOG
2013-03-13,54.47,55.02,54.0,54.79,870326,HOG
2013-03-14,54.99,55.02,54.23,54.92,863139,HOG
2013-03-15,54.7,55.51,54.5,55.41,1693911,HOG
2013-03-18,54.63,54.92,54.1912,54.49,1610744,HOG
2013-03-19,53.75,53.84,52.6,52.79,2685164,HOG
2013-03-20,53.02,54.16,52.99,53.98,1207727,HOG
2013-03-21,53.68,53.68,52.59,52.73,1061120,HOG
2013-03-22,52.99,53.05,52.5207,52.79,972684,HOG
2013-03-25,52.97,53.33,52.07,52.49,1194416,HOG
2013-03-26,52.84,53.15,52.535,53.08,839886,HOG
2013-03-27,52.65,53.095,52.37,52.82,1186761,HOG
2013-03-28,52.82,53.48,52.57,53.3,1050138,HOG
2013-04-01,53.37,53.37,51.42,51.56,1754657,HOG
2013-04-02,51.9,52.103,51.22,51.6,1582885,HOG
2013-04-03,51.76,51.76,50.4,50.53,1705141,HOG
2013-04-04,50.57,51.06,50.41,50.84,1777355,HOG
2013-04-05,50.04,50.81,49.75,50.71,1609324,HOG
2013-04-08,50.66,51.42,50.66,51.39,1653530,HOG
2013-04-09,51.44,51.6,50.89,51.16,1496117,HOG
2013-04-10,51.38,52.52,51.29,52.21,1167747,HOG
2013-04-11,52.13,52.875,51.99,52.21,1764875,HOG
2013-04-12,52.09,52.15,51.555,52.0,984731,HOG
2013-04-15,51.55,52.04,49.92,49.95,2281274,HOG
2013-04-16,50.43,51.69,50.43,51.63,1454263,HOG
2013-04-17,51.28,51.475,50.589,51.15,1692353,HOG
2013-04-18,51.08,51.52,50.62,51.05,1358836,HOG
2013-04-19,51.25,52.05,51.23,51.83,2032850,HOG
2013-04-22,51.84,51.9952,51.12,51.49,1669650,HOG
2013-04-23,51.88,52.9,51.64,52.86,1505692,HOG
2013-04-24,53.0,53.48,52.37,53.2,1770653,HOG
2013-04-25,53.25,55.68,53.25,54.31,4062439,HOG
2013-04-26,54.21,54.51,53.6081,54.04,1573210,HOG
2013-04-29,54.14,54.91,54.03,54.76,1360701,HOG
2013-04-30,54.62,54.76,54.11,54.65,1665387,HOG
2013-05-01,54.6,54.6,53.8,54.01,1317902,HOG
