date,open,high,low,close,volume,Name
2018-01-23,167.99,169.71,167.65,169.6,1058563,APD
2018-01-24,169.75,171.11,169.74,170.81,877653,APD
2018-01-25,171.69,175.17,171.69,174.0,2585876,APD
2018-01-26,164.23,171.28,162.69,169.85,2700882,APD
2018-01-29,166.95,170.31,165.96,166.67,2032487,APD
2018-01-30,166.7,168.93,165.89,168.3,1790584,APD
2018-01-31,168.98,169.34,167.17,168.37,1867806,APD
2018-02-01,167.21,168.3,165.35,166.79,1476987,APD
2018-02-02,166.4,166.4,162.5789,162.84,1356909,APD
2018-02-05,162.41,163.54,155.55,156.33,1707475,APD
2018-02-06,154.35,160.79,153.51,160.22,2396601,APD
2018-02-07,159.59,161.83,158.11,158.21,1650018,APD
2013-02-08,34.76,35.42,34.76,35.22,1497652,APH
2013-02-11,35.235,35.475,35.08,35.205,1001954,APH
2013-02-12,35.245,35.485,35.085,35.2,2354372,APH
2013-02-13,35.305,35.458,34.905,35.055,1175386,APH
2013-02-14,34.945,35.275,34.86,35.05,1806600,APH
2013-02-15,35.15,35.335,34.99,35.21,2522650,APH
2013-02-19,35.275,35.465,35.18,35.445,1373578,APH
2013-02-20,35.47,35.655,34.735,34.745,1280254,APH
2013-02-21,34.605,34.89,34.43,34.64,1599092,APH
2013-02-22,34.86,35.405,34.8,35.4,1259818,APH
2013-02-25,35.59,35.63,34.585,34.585,1129590,APH
2013-02-26,34.77,35.17,34.67,35.045,1229332,APH
2013-02-27,34.945,35.555,34.84,35.34,1170152,APH
2013-02-28,35.365,35.635,35.23,35.43,1222976,APH
2013-03-01,35.29,35.88,35.09,35.855,1325788,APH
2013-03-04,35.71,36.045,35.575,35.985,1367530,APH
2013-03-05,36.125,36.44,36.035,36.29,1418344,APH
2013-03-06,36.44,36.576,36.23,36.395,951672,APH
2013-03-07,36.415,36.445,36.17,36.26,1306340,APH
2013-03-08,36.43,36.6925,36.27,36.62,1061594,APH
2013-03-11,36.565,36.68,36.415,36.565,1151072,APH
2013-03-12,36.51,36.57,36.115,36.33,1025034,APH
2013-03-13,36.345,36.6,36.335,36.45,818184,APH
2013-03-14,36.6,36.88,36.52,36.625,1158296,APH
2013-03-15,36.455,36.505,36.04,36.195,1480730,APH
2013-03-18,35.89,36.31,35.845,36.235,1116686,APH
2013-03-19,36.4,36.495,35.94,36.175,1348518,APH
2013-03-20,36.47,36.695,36.3,36.58,965872,APH
2013-03-21,36.16,36.66,35.685,36.375,1181380,APH
2013-03-22,35.78,36.61,35.625,36.61,866722,APH
2013-03-25,36.745,36.75,36.21,36.3,911524,APH
2013-03-26,36.375,36.61,36.33,36.595,618922,APH
2013-03-27,36.33,36.59,36.21,36.575,731816,APH
2013-03-28,36.545,37.355,36.47,37.325,1713396,APH
2013-04-01,37.385,37.385,36.67,36.76,1108720,APH
2013-04-02,36.805,37.09,36.74,36.855,803850,APH
2013-04-03,36.94,37.045,36.605,36.66,972414,APH
2013-04-04,36.63,36.94,36.555,36.615,724648,APH
2013-04-05,36.025,36.265,35.725,36.025,1650362,APH
2013-04-08,36.12,36.52,36.01,36.52,597062,APH
2013-04-09,36.595,36.645,36.1005,36.5,982626,APH
2013-04-10,36.575,37.205,36.47,37.18,989592,APH
2013-04-11,37.16,37.46,36.995,37.385,856792,APH
2013-04-12,37.015,37.2,36.569,36.745,936116,APH
2013-04-15,36.61,36.61,35.75,35.75,1916516,APH
2013-04-16,36.01,36.76,36.0,36.755,1108144,APH
2013-04-17,36.465,36.485,35.5805,36.13,2044700,APH
2013-04-18,36.13,36.745,35.045,36.115,2431918,APH
2013-04-19,36.095,36.4,35.62,36.39,1427856,APH
