date,open,high,low,close,volume,Name
2016-09-21,75.27,75.9,74.73,75.44,2808616,HCA
2016-09-22,76.04,76.71,75.84,76.38,2367414,HCA
2016-09-23,76.97,77.35,76.03,76.12,1959167,HCA
2016-09-26,75.77,75.98,74.48,74.91,2991684,HCA
2016-09-27,74.88,75.37,74.64,75.13,1833043,HCA
2016-09-28,75.3,75.63,74.37,75.43,2171409,HCA
2016-09-29,75.39,76.04,74.6701,75.26,2452232,HCA
2016-09-30,75.52,75.89,74.74,75.63,2572638,HCA
2016-10-03,75.17,75.2,74.04,74.55,1961018,HCA
2016-10-04,74.63,75.16,74.06,74.5,1905150,HCA
2016-10-05,74.67,75.1138,74.55,74.74,1306486,HCA
2016-10-06,74.66,74.87,74.11,74.6,1790765,HCA
2016-10-07,74.68,75.38,73.86,74.23,2189453,HCA
2016-10-10,74.55,76.25,74.55,75.95,3811665,HCA
2016-10-11,76.25,76.25,75.06,75.76,2767940,HCA
2016-10-12,75.87,76.93,75.42,76.89,3645971,HCA
2016-10-13,76.96,80.41,76.88,80.29,6765611,HCA
2016-10-14,80.49,81.28,79.94,80.32,2868587,HCA
2016-10-17,80.27,80.74,79.95,80.39,2183828,HCA
2016-10-18,81.11,82.37,80.76,82.02,2660096,HCA
2016-10-19,81.79,82.21,80.95,81.83,3146993,HCA
2016-10-20,81.91,82.3,81.33,82.01,2347288,HCA
2016-10-21,81.68,82.0,81.13,81.74,1325008,HCA
2016-10-24,82.0,82.31,81.68,81.72,1796270,HCA
2016-10-25,81.69,82.16,80.61,80.96,2106332,HCA
2016-10-26,80.38,80.38,78.69,78.93,3690643,HCA
2016-10-27,79.08,81.06,78.94,79.31,4621709,HCA
2016-10-28,79.33,79.41,76.26,77.31,4814121,HCA
2016-10-31,77.42,77.48,76.25,76.53,3310180,HCA
2016-11-01,76.8,77.0199,74.97,75.4,3083352,HCA
2016-11-02,75.44,75.86,74.98,75.1,3144986,HCA
2016-11-03,75.46,76.29,73.31,73.41,3197917,HCA
2016-11-04,73.94,75.57,73.58,75.33,3801176,HCA
2016-11-07,77.21,79.81,77.21,79.62,5035979,HCA
2016-11-08,79.09,81.27,78.56,80.88,3542932,HCA
2016-11-09,68.69,72.34,67.0,72.16,23023689,HCA
2016-11-10,72.5,73.94,70.39,72.06,9313072,HCA
2016-11-11,71.28,71.53,68.02,69.58,8891605,HCA
2016-11-14,69.58,72.69,69.58,71.94,5982277,HCA
2016-11-15,73.11,74.0,72.02,74.0,4393221,HCA
2016-11-16,74.12,74.25,72.94,73.54,2723214,HCA
2016-11-17,73.44,75.126,73.31,74.66,3483442,HCA
2016-11-18,74.68,74.97,72.32,72.39,4314290,HCA
2016-11-21,72.56,73.61,72.14,72.94,3173279,HCA
2016-11-22,73.0,73.35,69.9375,70.09,4934726,HCA
2016-11-23,69.6,71.48,69.18,71.0,2986162,HCA
2016-11-25,71.24,71.41,70.59,71.39,787620,HCA
2016-11-28,71.23,71.37,70.25,70.44,2144477,HCA
2016-11-29,69.9,71.62,69.59,71.52,2099467,HCA
2016-11-30,71.72,71.8,70.33,70.89,2367434,HCA
2016-12-01,70.93,72.449,70.75,71.2,2063449,HCA
2016-12-02,71.44,72.18,70.26,70.31,1806250,HCA
2016-12-05,70.58,70.91,70.0,70.58,2511894,HCA
2016-12-06,70.57,71.41,70.39,71.2,2853241,HCA
2016-12-07,71.05,73.0,70.72,71.96,3115765,HCA
2016-12-08,72.11,72.89,70.65,72.54,3093645,HCA
2016-12-09,72.65,74.03,72.4,73.25,2403896,HCA
2016-12-12,73.58,75.58,73.15,73.97,3575206,HCA
2016-12-13,73.91,74.7,73.58,73.95,2139769,HCA
2016-12-14,73.81,73.9,72.62,73.07,2563359,HCA
2016-12-15,72.98,74.96,72.9,74.46,2505523,HCA
