date,open,high,low,close,volume,Name
2015-12-22,65.64,66.81,65.41,66.77,926276,HAS
2015-12-23,67.39,67.74,65.86,67.26,1801330,HAS
2015-12-24,67.11,68.09,67.0,67.62,417222,HAS
2015-12-28,67.4,67.88,66.8001,67.65,641618,HAS
2015-12-29,68.02,68.77,67.48,68.43,921834,HAS
2015-12-30,68.3,68.615,67.47,67.5,572130,HAS
2015-12-31,67.37,67.865,67.22,67.36,892746,HAS
2016-01-04,66.34,66.98,65.52,66.96,1214899,HAS
2016-01-05,67.3,68.4999,67.01,68.18,1661003,HAS
2016-01-06,66.77,71.1,66.61,69.89,3294965,HAS
2016-01-07,68.5,70.3,68.03,69.12,1808056,HAS
2016-01-08,69.25,69.57,67.91,68.04,1231000,HAS
2016-01-11,68.68,70.13,68.28,70.01,1275425,HAS
2016-01-12,70.29,70.98,69.82,70.83,1054513,HAS
2016-01-13,70.53,71.0,68.47,68.48,1309425,HAS
2016-01-14,68.95,70.72,68.3001,70.2,1346386,HAS
2016-01-15,68.71,72.255,68.515,72.07,2433218,HAS
2016-01-19,72.64,72.7669,69.25,70.45,1700312,HAS
2016-01-20,69.31,70.16,67.2,69.73,1514916,HAS
2016-01-21,69.89,72.31,69.165,71.95,1345475,HAS
2016-01-22,73.22,73.62,72.0092,72.91,1036664,HAS
2016-01-25,72.72,73.23,70.74,70.91,1597862,HAS
2016-01-26,71.53,72.38,70.93,72.33,1031002,HAS
2016-01-27,72.6,72.94,70.685,71.16,840751,HAS
2016-01-28,72.07,72.65,70.63,72.35,954226,HAS
2016-01-29,72.34,74.32,71.7,74.28,1324478,HAS
2016-02-01,73.98,74.19,72.539,73.77,2351036,HAS
2016-02-02,74.09,75.96,73.45,74.34,2857752,HAS
2016-02-03,74.75,76.2,74.29,75.0,2384059,HAS
2016-02-04,74.58,78.45,73.86,75.9,4598263,HAS
2016-02-05,75.9,76.89,73.94,74.1,2478821,HAS
2016-02-08,74.36,75.87,72.32,75.11,3899740,HAS
2016-02-09,74.02,75.28,70.94,71.94,2495896,HAS
2016-02-10,72.26,72.665,71.58,72.17,1829857,HAS
2016-02-11,69.81,70.89,68.915,69.56,1678735,HAS
2016-02-12,70.0,70.445,68.6,70.08,2573213,HAS
2016-02-16,70.8,71.43,70.49,71.04,1410129,HAS
2016-02-17,71.97,72.7,71.22,72.05,1527896,HAS
2016-02-18,72.17,73.09,71.84,72.27,1513966,HAS
2016-02-19,72.19,72.285,71.2,72.08,1130372,HAS
2016-02-22,73.31,74.58,72.5,74.54,1007536,HAS
2016-02-23,74.1,74.85,73.98,74.51,1034573,HAS
2016-02-24,73.78,75.82,73.5,75.75,1019674,HAS
2016-02-25,75.68,76.21,74.66,76.13,867873,HAS
2016-02-26,76.5,77.05,76.0,76.45,672425,HAS
2016-02-29,76.44,76.57,75.14,75.87,798658,HAS
2016-03-01,76.07,77.49,75.51,77.44,770133,HAS
2016-03-02,77.28,79.01,76.5,78.94,1105183,HAS
2016-03-03,79.19,79.4,78.41,78.89,967770,HAS
2016-03-04,78.72,79.155,77.52,77.91,918331,HAS
2016-03-07,77.55,79.06,77.55,78.6,688884,HAS
2016-03-08,77.89,79.31,77.8,78.58,774394,HAS
2016-03-09,78.89,79.09,77.92,78.0,772352,HAS
2016-03-10,78.48,78.75,77.5,77.94,1045852,HAS
2016-03-11,78.42,78.76,77.7,77.98,1184571,HAS
2016-03-14,77.77,78.65,77.61,78.4,886204,HAS
2016-03-15,77.81,78.5,77.81,78.48,1561595,HAS
2016-03-16,78.45,78.87,77.96,78.39,717578,HAS
2016-03-17,78.33,79.21,77.83,78.61,1015714,HAS
2016-03-18,78.72,78.95,78.31,78.49,2242035,HAS
2016-03-21,78.21,78.7705,77.405,77.85,901498,HAS
