date,open,high,low,close,volume,Name
2018-01-30,197.25,197.73,194.89,196.9,3343348,ADBE
2018-01-31,197.13,200.96,196.75,199.76,2747576,ADBE
2018-02-01,199.12,201.75,198.0845,199.38,2366120,ADBE
2018-02-02,197.33,199.4,195.44,195.64,2813785,ADBE
2018-02-05,194.06,198.46,188.0,190.27,3801346,ADBE
2018-02-06,186.59,194.82,182.1,194.47,4479960,ADBE
2018-02-07,193.87,196.24,192.02,192.34,2988024,ADBE
2013-02-08,44.72,45.9,44.45,45.7,2962576,ADI
2013-02-11,45.99,46.14,45.77,46.08,2382919,ADI
2013-02-12,46.15,46.35,45.96,46.27,2313512,ADI
2013-02-13,46.29,46.63,46.06,46.26,2376089,ADI
2013-02-14,46.02,46.7,45.98,46.54,1991339,ADI
2013-02-15,46.39,46.625,45.86,46.175,3187346,ADI
2013-02-19,46.4,47.04,46.2,47.01,2734193,ADI
2013-02-20,46.9,47.27,45.76,45.79,3472897,ADI
2013-02-21,45.7,45.77,44.835,45.12,2923019,ADI
2013-02-22,45.1905,45.89,45.19,45.52,2320070,ADI
2013-02-25,46.11,46.27,44.75,44.77,2626687,ADI
2013-02-26,45.08,45.31,44.65,45.0,4383813,ADI
2013-02-27,44.58,45.62,44.31,45.38,2094992,ADI
2013-02-28,45.28,45.82,43.68,45.22,2627140,ADI
2013-03-01,45.0,45.44,44.41,45.23,2392766,ADI
2013-03-04,45.29,45.345,44.89,45.3,1971660,ADI
2013-03-05,45.5,45.93,45.5,45.77,1425028,ADI
2013-03-06,45.83,46.19,45.8,46.12,1908564,ADI
2013-03-07,46.25,46.2575,45.59,45.71,1975107,ADI
2013-03-08,45.96,46.27,45.53,46.05,1663197,ADI
2013-03-11,45.96,46.445,45.79,46.44,1731687,ADI
2013-03-12,46.4,46.64,46.15,46.48,1967323,ADI
2013-03-13,46.41,46.63,46.21,46.48,1864213,ADI
2013-03-14,46.65,46.995,46.47,46.505,1902555,ADI
2013-03-15,46.33,46.53,45.39,45.53,4695222,ADI
2013-03-18,45.25,45.35,44.73,44.85,2326820,ADI
2013-03-19,44.98,45.16,44.33,44.91,1778035,ADI
2013-03-20,45.29,45.75,45.13,45.66,1811235,ADI
2013-03-21,45.22,45.4,44.52,44.55,1645398,ADI
2013-03-22,44.82,45.16,44.695,44.9,2071589,ADI
2013-03-25,45.04,45.06,44.37,44.64,1900007,ADI
2013-03-26,44.9,45.78,44.77,45.75,1623312,ADI
2013-03-27,45.3,45.87,45.02,45.75,1471120,ADI
2013-03-28,45.63,46.53,45.61,46.49,2095835,ADI
2013-04-01,46.28,46.36,45.315,45.41,2542598,ADI
2013-04-02,45.72,45.74,44.935,45.2,2177063,ADI
2013-04-03,45.09,45.19,43.89,44.06,2431063,ADI
2013-04-04,44.13,44.19,43.62,43.745,3513837,ADI
2013-04-05,43.01,43.68,42.45,43.61,3381308,ADI
2013-04-08,43.64,44.0,43.35,44.0,2301854,ADI
2013-04-09,44.03,44.27,43.53,44.07,2574880,ADI
2013-04-10,44.28,45.12,44.04,45.1,2386183,ADI
2013-04-11,45.14,45.4,44.74,44.9,2459214,ADI
2013-04-12,44.71,44.83,44.075,44.59,2311832,ADI
2013-04-15,44.41,44.7,43.84,43.84,2780966,ADI
2013-04-16,44.09,44.78,43.905,44.74,2382066,ADI
2013-04-17,43.57,43.86,42.24,42.85,4736902,ADI
2013-04-18,43.35,43.35,42.16,42.34,2802940,ADI
2013-04-19,42.2,42.69,41.81,42.36,2746280,ADI
2013-04-22,42.62,42.92,41.88,42.66,2253628,ADI
2013-04-23,42.98,43.63,42.85,43.43,2371357,ADI
2013-04-24,43.66,43.81,43.44,43.46,2926811,ADI
2013-04-25,43.97,43.97,43.57,43.65,6025210,ADI
2013-04-26,43.51,43.7,43.21,43.3,2081117,ADI
