date,open,high,low,close,volume,Name
2013-03-04,51.4,51.87,51.25,51.87,3132766,CVS
2013-03-05,52.01,52.43,51.87,52.3,5345192,CVS
2013-03-06,52.58,52.69,52.14,52.22,5022964,CVS
2013-03-07,52.22,52.22,51.7,52.09,3688645,CVS
2013-03-08,52.3,52.45,51.8432,52.28,3982604,CVS
2013-03-11,52.27,52.63,52.2,52.63,4622087,CVS
2013-03-12,52.17,52.5,51.77,52.08,6388462,CVS
2013-03-13,52.22,52.93,52.17,52.9,4521655,CVS
2013-03-14,53.07,53.3,52.95,53.26,5796378,CVS
2013-03-15,53.33,53.61,53.175,53.58,8932987,CVS
2013-03-18,53.2,54.03,53.03,53.8,7208862,CVS
2013-03-19,54.0,54.485,53.95,54.38,8913637,CVS
2013-03-20,54.78,55.35,54.7,55.15,9135216,CVS
2013-03-21,54.85,55.18,54.61,54.65,7506477,CVS
2013-03-22,54.72,55.25,54.71,55.2,5196483,CVS
2013-03-25,55.27,55.64,55.13,55.3,6376508,CVS
2013-03-26,55.53,56.069,55.26,55.29,7632100,CVS
2013-03-27,55.05,55.23,54.76,54.99,8530138,CVS
2013-03-28,54.95,55.06,54.79,54.99,9382981,CVS
2013-04-01,54.75,54.97,54.33,54.53,5450989,CVS
2013-04-02,54.53,55.3,54.53,55.24,8003483,CVS
2013-04-03,55.13,55.2,53.94,54.13,6749460,CVS
2013-04-04,54.33,55.39,54.3,55.35,5981951,CVS
2013-04-05,54.83,55.66,54.765,55.64,5724534,CVS
2013-04-08,55.65,56.44,55.2,56.44,5237555,CVS
2013-04-09,56.55,57.0,56.13,56.58,5694169,CVS
2013-04-10,56.6,57.09,56.53,56.96,5630026,CVS
2013-04-11,57.07,58.29,57.05,57.76,6541700,CVS
2013-04-12,57.66,57.99,57.17,57.52,4614342,CVS
2013-04-15,57.33,57.53,56.3,56.31,6086714,CVS
2013-04-16,56.54,57.7,56.43,57.63,5367924,CVS
2013-04-17,57.44,57.78,56.99,57.21,7786244,CVS
2013-04-18,57.25,57.27,56.58,56.87,5515158,CVS
2013-04-19,57.3,58.13,56.83,58.0,6070793,CVS
2013-04-22,58.03,58.2,57.35,58.11,3663246,CVS
2013-04-23,58.23,58.5,57.58,58.02,4264754,CVS
2013-04-24,57.97,58.32,57.53,57.58,3631871,CVS
2013-04-25,57.85,58.325,57.68,57.94,6302290,CVS
2013-04-26,57.85,58.2,57.64,57.73,3998207,CVS
2013-04-29,57.94,58.0,57.37,57.44,4056618,CVS
2013-04-30,57.55,58.27,57.45,58.18,6767905,CVS
2013-05-01,58.97,59.25,58.54,58.75,8113169,CVS
2013-05-02,58.61,59.05,57.89,58.95,6580267,CVS
2013-05-03,59.33,59.37,58.5,58.64,4162413,CVS
2013-05-06,58.42,58.5,57.58,57.94,5149932,CVS
2013-05-07,57.96,58.6,57.62,58.54,4795759,CVS
2013-05-08,58.69,58.85,58.12,58.29,5125568,CVS
2013-05-09,58.31,58.4,57.2,57.49,5697409,CVS
2013-05-10,57.44,58.07,57.23,58.03,5089335,CVS
2013-05-13,57.99,58.89,57.85,58.55,6056305,CVS
2013-05-14,58.5,60.14,58.49,60.07,8428990,CVS
2013-05-15,59.99,60.66,59.575,60.35,5369092,CVS
2013-05-16,60.07,60.13,59.09,59.37,5507718,CVS
2013-05-17,59.33,59.64,59.04,59.44,4131290,CVS
2013-05-20,59.38,59.44,58.7432,58.98,3747787,CVS
2013-05-21,58.97,59.67,58.96,59.51,4092649,CVS
2013-05-22,59.44,59.945,58.49,58.7,5992781,CVS
2013-05-23,58.34,58.7,57.8,58.33,4149752,CVS
2013-05-24,58.29,59.35,57.96,59.2,4244909,CVS
2013-05-28,59.71,60.7,59.71,60.21,6267333,CVS
2013-05-29,59.83,59.88,59.06,59.24,3809193,CVS
