date,open,high,low,close,volume,Name
2018-01-24,73.54,73.7041,72.16,72.63,3284325,EMR
2018-01-25,73.08,73.2,71.79,72.68,3293690,EMR
2018-01-26,72.9,74.05,72.68,74.05,3587451,EMR
2018-01-29,73.67,73.87,72.91,72.99,2136367,EMR
2018-01-30,72.43,72.91,72.09,72.47,2311602,EMR
2018-01-31,72.95,73.2473,72.03,72.23,5458129,EMR
2018-02-01,71.43,73.1,69.73,72.58,3022225,EMR
2018-02-02,71.86,72.34,70.51,70.57,4852958,EMR
2018-02-05,70.02,71.42,68.215,68.44,4426299,EMR
2018-02-06,66.7,71.38,66.0,69.25,7320437,EMR
2018-02-07,69.41,70.52,68.731,68.96,4045693,EMR
2013-02-08,65.07,66.695,65.07,66.64,3602500,EOG
2013-02-11,66.645,66.8425,66.06,66.67,3396172,EOG
2013-02-12,66.75,67.345,66.4,67.05,3462338,EOG
2013-02-13,67.05,67.2,66.35,66.8,3147304,EOG
2013-02-14,69.035,69.1,66.54,66.665,5911818,EOG
2013-02-15,66.63,67.0,63.89,64.595,6349340,EOG
2013-02-19,65.28,65.79,65.02,65.7,3935220,EOG
2013-02-20,65.715,65.87,63.66,63.695,4943582,EOG
2013-02-21,63.245,63.53,61.775,62.02,5828468,EOG
2013-02-22,62.5,62.92,61.845,62.67,4546082,EOG
2013-02-25,62.835,63.48,60.825,60.885,5190652,EOG
2013-02-26,61.185,61.925,60.38,61.75,3928572,EOG
2013-02-27,61.555,63.565,61.385,63.46,4719778,EOG
2013-02-28,63.22,63.98,62.8,62.855,4327516,EOG
2013-03-01,62.32,62.675,61.115,61.5,5726840,EOG
2013-03-04,61.39,61.44,60.5,60.895,3752444,EOG
2013-03-05,61.54,62.525,61.21,62.35,3914080,EOG
2013-03-06,62.59,62.975,62.16,62.8,4088744,EOG
2013-03-07,62.875,64.1155,62.685,63.78,2442506,EOG
2013-03-08,64.095,64.46,63.745,64.34,2449376,EOG
2013-03-11,64.165,64.685,63.7055,64.33,2083968,EOG
2013-03-12,64.75,65.2,64.56,65.04,2585508,EOG
2013-03-13,65.0,65.5885,64.745,64.94,2634902,EOG
2013-03-14,65.245,66.005,65.135,65.915,2847736,EOG
2013-03-15,65.735,66.42,65.205,65.21,4977548,EOG
2013-03-18,64.455,65.21,64.16,64.465,2773752,EOG
2013-03-19,64.55,64.76,63.355,63.635,2508450,EOG
2013-03-20,64.18,64.399,63.085,63.12,3784720,EOG
2013-03-21,62.635,63.425,61.925,61.95,4027588,EOG
2013-03-22,62.22,62.535,61.81,62.49,2767542,EOG
2013-03-25,62.885,63.4,61.515,61.96,3086834,EOG
2013-03-26,62.24,64.695,62.185,64.45,4867882,EOG
2013-03-27,63.945,64.335,63.095,64.1,3677384,EOG
2013-03-28,64.085,64.575,63.715,64.035,3040394,EOG
2013-04-01,64.035,64.415,63.315,64.255,2257386,EOG
2013-04-02,64.4,65.025,64.0175,64.525,3105046,EOG
2013-04-03,64.525,64.71,62.875,63.05,3338488,EOG
2013-04-04,63.035,63.035,61.315,61.43,4745632,EOG
2013-04-05,60.5,62.435,60.38,62.375,4257046,EOG
2013-04-08,62.445,63.61,62.265,63.445,2525072,EOG
2013-04-09,63.535,64.605,63.1,64.125,2289378,EOG
2013-04-10,64.28,65.1,64.24,64.31,2723054,EOG
2013-04-11,64.505,64.83,63.86,64.13,2956636,EOG
2013-04-12,63.65,63.9,62.005,62.065,4052180,EOG
2013-04-15,61.18,61.185,58.065,58.095,5775660,EOG
2013-04-16,58.915,59.82,57.91,59.575,4536828,EOG
2013-04-17,58.705,58.93,56.73,57.41,6131196,EOG
2013-04-18,57.695,57.98,56.025,57.655,6898118,EOG
2013-04-19,58.08,58.14,56.465,56.72,4945884,EOG
2013-04-22,56.975,58.41,56.755,58.2,4328970,EOG
