date,open,high,low,close,volume,Name
2016-10-19,70.35,70.62,70.07,70.43,2283839,ESRX
2016-10-20,70.59,71.52,70.31,71.04,2453342,ESRX
2016-10-21,70.63,70.63,69.54,69.61,3092722,ESRX
2016-10-24,70.15,70.55,69.41,69.8,2960695,ESRX
2016-10-25,69.73,70.24,69.5,70.07,2642407,ESRX
2016-10-26,72.03,72.03,69.24,70.39,5370287,ESRX
2016-10-27,70.46,70.62,69.12,69.23,3486271,ESRX
2016-10-28,67.59,68.1,64.46,65.09,10586527,ESRX
2016-10-31,65.54,67.52,65.42,67.4,6186898,ESRX
2016-11-01,67.42,67.77,66.77,67.25,4951991,ESRX
2016-11-02,67.35,70.76,67.1193,69.82,7091760,ESRX
2016-11-03,69.82,70.77,67.06,67.24,6875127,ESRX
2016-11-04,67.16,68.67,67.01,67.86,5014676,ESRX
2016-11-07,69.22,70.72,68.98,70.38,4641874,ESRX
2016-11-08,67.97,70.11,67.5773,69.85,5759849,ESRX
2016-11-09,73.35,75.32,71.435,74.78,9180159,ESRX
2016-11-10,75.13,76.6,74.63,75.39,8904674,ESRX
2016-11-11,75.18,75.6,73.78,74.59,4337362,ESRX
2016-11-14,74.51,77.14,74.27,76.45,5670086,ESRX
2016-11-15,76.55,77.22,75.73,77.14,3448039,ESRX
2016-11-16,77.06,77.45,76.0,76.15,3043172,ESRX
2016-11-17,76.06,76.5,75.83,76.44,2909450,ESRX
2016-11-18,76.33,76.69,75.72,75.77,2984707,ESRX
2016-11-21,75.225,76.76,75.225,76.1,2577371,ESRX
2016-11-22,76.06,76.31,75.57,75.93,3651624,ESRX
2016-11-23,75.74,76.82,75.6,76.81,2244914,ESRX
2016-11-25,76.97,77.39,76.37,76.9,1285203,ESRX
2016-11-28,76.78,77.13,76.05,76.75,2336432,ESRX
2016-11-29,77.02,77.5,76.8,76.86,2171452,ESRX
2016-11-30,76.86,77.34,75.79,75.88,5569834,ESRX
2016-12-01,75.89,76.29,75.44,75.83,3242099,ESRX
2016-12-02,76.09,76.755,75.59,75.66,2718891,ESRX
2016-12-05,76.23,76.75,75.5,76.71,3893716,ESRX
2016-12-06,76.42,77.25,76.01,76.73,2542847,ESRX
2016-12-07,75.5,76.38,74.47,75.85,3840300,ESRX
2016-12-08,75.99,75.99,68.0,70.75,17710775,ESRX
2016-12-09,72.3,72.48,71.511,72.48,7403945,ESRX
2016-12-12,72.57,72.93,71.415,72.1,3462243,ESRX
2016-12-13,71.58,73.52,71.58,73.17,4767996,ESRX
2016-12-14,72.67,73.17,68.45,70.52,9786252,ESRX
2016-12-15,70.51,70.58,68.36,69.18,6823053,ESRX
2016-12-16,69.17,70.0,68.85,69.92,7764896,ESRX
2016-12-19,70.46,70.58,68.93,69.24,4309098,ESRX
2016-12-20,69.51,69.69,68.27,68.65,3056147,ESRX
2016-12-21,68.74,69.06,68.21,68.5,2922548,ESRX
2016-12-22,68.56,69.95,68.02,68.43,2074052,ESRX
2016-12-23,68.52,69.12,68.48,69.0,1807284,ESRX
2016-12-27,68.98,69.87,68.8,69.6,2202318,ESRX
2016-12-28,69.75,69.92,69.2904,69.5,2092664,ESRX
2016-12-29,68.8197,69.87,68.8197,69.39,2150487,ESRX
2016-12-30,69.39,69.57,68.52,68.79,2753214,ESRX
2017-01-03,69.41,69.75,69.01,69.4,3524397,ESRX
2017-01-04,69.66,71.98,69.35,71.14,4083125,ESRX
2017-01-05,70.77,71.37,70.2804,70.87,2149611,ESRX
2017-01-06,70.8,70.95,70.12,70.75,1733517,ESRX
2017-01-09,70.44,71.88,70.41,71.56,2492683,ESRX
2017-01-10,71.56,73.0,71.44,72.5,4377385,ESRX
2017-01-11,72.42,73.38,71.13,72.09,4371386,ESRX
2017-01-12,71.78,72.23,71.55,71.86,2195305,ESRX
2017-01-13,71.81,72.13,71.515,71.8,2190092,ESRX
2017-01-17,71.68,73.24,71.29,73.16,3433721,ESRX
