date,open,high,low,close,volume,Name
2013-02-13,91.34,91.99,91.32,91.45,720500,ROK
2013-02-14,89.92,90.8786,89.33,90.85,839796,ROK
2013-02-15,91.01,91.78,90.54,90.76,719495,ROK
2013-02-19,91.17,91.84,90.55,90.85,1044646,ROK
2013-02-20,90.98,91.423,89.44,89.55,1136325,ROK
2013-02-21,89.14,89.3395,88.18,88.71,1016629,ROK
2013-02-22,89.285,90.48,89.285,90.06,938002,ROK
2013-02-25,90.41,90.72,88.13,88.16,1003068,ROK
2013-02-26,88.72,89.09,87.57,88.78,775993,ROK
2013-02-27,88.69,90.74,88.515,90.38,683923,ROK
2013-02-28,90.42,91.41,89.95,90.34,802410,ROK
2013-03-01,89.72,90.45,88.38,89.28,985297,ROK
2013-03-04,88.92,88.96,87.12,88.09,1170109,ROK
2013-03-05,88.94,90.29,88.93,89.51,1084769,ROK
2013-03-06,89.95,90.33,89.46,89.66,740766,ROK
2013-03-07,89.8,90.93,89.77,90.79,675315,ROK
2013-03-08,90.32,90.77,89.29,90.6,980022,ROK
2013-03-11,90.28,90.52,89.916,90.06,917100,ROK
2013-03-12,90.0,90.0,88.21,88.54,1188408,ROK
2013-03-13,88.41,88.965,87.71,88.91,815453,ROK
2013-03-14,89.2,89.38,88.16,89.37,1058609,ROK
2013-03-15,89.07,89.37,87.9,88.54,1393211,ROK
2013-03-18,87.58,88.27,86.97,87.45,846002,ROK
2013-03-19,87.63,88.0,86.08,86.71,749486,ROK
2013-03-20,87.3,87.7599,86.43,86.85,1053079,ROK
2013-03-21,86.89,87.45,85.21,86.16,1517103,ROK
2013-03-22,86.46,86.63,85.61,85.94,1005344,ROK
2013-03-25,86.19,86.39,84.565,85.18,902601,ROK
2013-03-26,85.34,85.57,84.18,84.85,1344598,ROK
2013-03-27,84.09,85.215,83.58,85.04,1005418,ROK
2013-03-28,85.32,86.44,84.76,86.35,957891,ROK
2013-04-01,86.29,86.39,84.581,84.66,616742,ROK
2013-04-02,85.08,85.26,83.94,84.33,1052197,ROK
2013-04-03,84.14,84.85,83.132,84.59,1536506,ROK
2013-04-04,84.75,87.24,84.586,86.95,1839728,ROK
2013-04-05,85.77,88.26,85.23,87.99,1579332,ROK
2013-04-08,87.95,88.02,86.07,87.09,1240081,ROK
2013-04-09,87.13,88.14,86.7742,87.57,847715,ROK
2013-04-10,87.66,88.82,87.29,88.8,841195,ROK
2013-04-11,88.75,89.79,88.58,88.99,1144358,ROK
2013-04-12,88.61,88.64,87.43,87.63,735052,ROK
2013-04-15,86.99,87.02,83.3,83.33,1592185,ROK
2013-04-16,84.06,84.92,83.51,84.76,975953,ROK
2013-04-17,83.93,84.01,83.21,83.82,813561,ROK
2013-04-18,84.03,84.57,82.48,82.87,883305,ROK
2013-04-19,83.06,83.23,82.25,83.18,917856,ROK
2013-04-22,83.18,84.38,82.03,84.02,988762,ROK
2013-04-23,84.23,85.08,83.72,85.04,977008,ROK
2013-04-24,85.12,88.0,84.91,86.3,1722773,ROK
2013-04-25,86.23,87.06,85.105,86.85,1643791,ROK
2013-04-26,86.9,87.05,84.68,84.87,965175,ROK
2013-04-29,85.21,85.48,84.47,84.85,714013,ROK
2013-04-30,84.89,85.35,83.82,84.78,1004372,ROK
2013-05-01,84.48,84.495,82.21,82.32,1156349,ROK
2013-05-02,83.06,83.94,82.74,83.0,1106912,ROK
2013-05-03,84.32,85.81,84.16,85.09,913592,ROK
2013-05-06,84.98,86.62,84.61,86.21,842775,ROK
2013-05-07,86.53,88.1,86.21,87.91,1149200,ROK
2013-05-08,87.74,88.78,87.4,88.75,702597,ROK
2013-05-09,87.92,88.79,87.71,87.95,717438,ROK
2013-05-10,87.96,88.42,87.57,87.92,524737,ROK
