date,open,high,low,close,volume,Name
2014-05-30,160.55,160.899,156.59,158.25,1289351,ILMN
2014-06-02,159.58,159.58,153.18,158.68,1048436,ILMN
2014-06-03,157.5,160.575,155.34,159.58,1136406,ILMN
2014-06-04,158.63,163.98,158.01,160.93,1938876,ILMN
2014-06-05,160.0,168.47,159.5,164.09,5861759,ILMN
2014-06-06,166.45,169.1,163.11,168.95,3633294,ILMN
2014-06-09,168.92,172.5599,168.9,171.35,2616925,ILMN
2014-06-10,172.15,175.96,170.13,175.4,3291936,ILMN
2014-06-11,173.68,178.19,173.58,177.4,2373602,ILMN
2014-06-12,177.03,177.03,169.5,172.01,1951065,ILMN
2014-06-13,172.0,172.5,169.52,170.53,1321312,ILMN
2014-06-16,170.34,173.44,166.59,169.38,1485606,ILMN
2014-06-17,169.21,172.81,168.39,169.85,783171,ILMN
2014-06-18,169.36,171.98,166.64,171.01,1019624,ILMN
2014-06-19,172.14,173.489,170.23,172.7,733615,ILMN
2014-06-20,173.8,175.72,172.7139,175.02,1569213,ILMN
2014-06-23,174.9,175.6699,169.88,170.67,1048854,ILMN
2014-06-24,170.89,173.79,167.23,168.75,1076371,ILMN
2014-06-25,168.88,171.76,168.2575,170.86,1319333,ILMN
2014-06-26,171.4,171.82,169.19,170.98,1285386,ILMN
2014-06-27,171.44,173.85,170.13,172.7,957110,ILMN
2014-06-30,174.34,180.8,172.5,178.54,2263424,ILMN
2014-07-01,178.59,183.12,177.86,182.7,1276787,ILMN
2014-07-02,182.25,184.49,179.17,180.46,994132,ILMN
2014-07-03,181.8,183.3516,179.2201,182.86,598593,ILMN
2014-07-07,182.56,182.86,177.45,178.04,1600483,ILMN
2014-07-08,177.26,177.95,170.575,170.94,2164431,ILMN
2014-07-09,172.09,176.34,170.33,175.23,1766284,ILMN
2014-07-10,172.2,176.23,168.52,173.99,1538857,ILMN
2014-07-11,174.63,176.84,172.5,176.64,701581,ILMN
2014-07-14,178.99,179.99,176.0,177.83,816325,ILMN
2014-07-15,177.21,178.81,168.8,171.74,1539689,ILMN
2014-07-16,172.9,174.365,170.65,171.09,967079,ILMN
2014-07-17,171.44,172.87,165.37,166.16,1163654,ILMN
2014-07-18,167.47,174.78,166.5,174.05,1220169,ILMN
2014-07-21,173.0,176.62,170.05,175.89,1132391,ILMN
2014-07-22,175.79,178.98,174.51,176.31,870776,ILMN
2014-07-23,177.82,180.74,175.81,180.64,1912083,ILMN
2014-07-24,183.39,185.0,170.56,171.8,2830134,ILMN
2014-07-25,171.41,175.38,168.57,171.03,1134792,ILMN
2014-07-28,171.09,171.71,164.18,166.08,1382583,ILMN
2014-07-29,165.62,169.39,165.36,166.73,884120,ILMN
2014-07-30,167.66,168.8599,164.542,165.04,1031825,ILMN
2014-07-31,163.17,163.5,159.523,159.91,1175844,ILMN
2014-08-01,160.42,161.316,157.525,160.87,1021787,ILMN
2014-08-04,160.87,162.23,157.8,161.71,939498,ILMN
2014-08-05,162.26,162.26,158.3201,159.775,797779,ILMN
2014-08-06,157.8,161.33,156.85,159.302,635034,ILMN
2014-08-07,159.69,160.95,158.12,159.18,977181,ILMN
2014-08-08,162.5,167.78,160.81,167.45,1438639,ILMN
2014-08-11,167.69,167.9725,161.8,164.14,1389896,ILMN
2014-08-12,165.34,166.27,161.9,162.92,889831,ILMN
2014-08-13,163.47,167.088,163.01,166.13,922823,ILMN
2014-08-14,166.45,168.04,165.0,168.01,711361,ILMN
2014-08-15,169.28,169.7649,164.82,168.57,1230066,ILMN
2014-08-18,169.88,173.16,169.13,172.28,791116,ILMN
2014-08-19,172.24,174.0,170.25,170.49,796724,ILMN
2014-08-20,171.18,175.682,171.18,172.96,1050723,ILMN
2014-08-21,175.26,178.0,171.19,172.09,1064062,ILMN
2014-08-22,171.68,173.24,171.2,172.0,710544,ILMN
2014-08-25,173.8,178.37,173.0139,177.91,1055954,ILMN
