date,open,high,low,close,volume,Name
2018-01-08,110.76,111.63,109.05,109.1,1801721,DLTR
2018-01-09,109.5,109.815,108.66,109.69,1584757,DLTR
2018-01-10,109.16,109.94,108.78,109.63,1048811,DLTR
2018-01-11,109.66,111.69,109.18,111.35,2063706,DLTR
2018-01-12,112.1,115.05,111.64,114.84,2400068,DLTR
2018-01-16,115.49,115.89,112.55,112.88,2022778,DLTR
2018-01-17,114.49,114.79,112.57,112.8,2230787,DLTR
2018-01-18,113.07,113.33,111.57,112.9,1566449,DLTR
2018-01-19,113.1,115.0,112.34,114.73,1908248,DLTR
2018-01-22,114.28,115.04,113.43,115.02,1784611,DLTR
2018-01-23,115.1,116.2799,113.86,114.7,2060136,DLTR
2018-01-24,114.41,115.485,112.72,114.34,1728817,DLTR
2018-01-25,114.68,115.52,113.06,115.07,1562625,DLTR
2018-01-26,115.0,115.5,113.83,115.43,1632284,DLTR
2018-01-29,115.03,116.58,114.54,116.35,1806100,DLTR
2018-01-30,115.99,116.46,114.34,114.6,1921055,DLTR
2018-01-31,114.77,116.65,113.74,115.0,1802799,DLTR
2018-02-01,113.6,114.89,111.7445,113.87,1436657,DLTR
2018-02-02,112.53,112.89,108.67,108.83,2159934,DLTR
2018-02-05,108.39,110.44,105.24,105.24,2024747,DLTR
2018-02-06,103.03,108.485,101.071,107.85,2850463,DLTR
2018-02-07,107.07,108.7599,106.06,106.08,2124663,DLTR
2013-02-08,70.9,71.35,70.77,71.13,921228,DOV
2013-02-11,71.1,71.56,71.01,71.06,1079451,DOV
2013-02-12,71.16,71.7,71.04,71.46,1121815,DOV
2013-02-13,71.46,71.83,71.23,71.61,948596,DOV
2013-02-14,71.48,71.89,71.29,71.86,1049107,DOV
2013-02-15,71.91,72.824,71.87,72.56,1544769,DOV
2013-02-19,72.8,73.25,72.331,72.86,1081771,DOV
2013-02-20,72.97,73.13,72.16,72.22,1764561,DOV
2013-02-21,71.85,72.04,71.3,71.62,1557213,DOV
2013-02-22,71.93,73.45,71.9,73.12,2486134,DOV
2013-02-25,73.43,73.64,71.38,71.4,1842897,DOV
2013-02-26,71.51,72.6197,71.13,72.25,1292056,DOV
2013-02-27,72.36,73.85,72.04,73.62,1047698,DOV
2013-02-28,73.57,73.99,73.17,73.35,1272292,DOV
2013-03-01,72.89,73.42,71.93,72.96,1341292,DOV
2013-03-04,72.65,72.74,71.57,72.37,1521905,DOV
2013-03-05,72.76,73.8,72.76,73.47,790677,DOV
2013-03-06,73.69,73.72,73.12,73.28,678152,DOV
2013-03-07,73.39,73.676,72.965,73.1,900653,DOV
2013-03-08,73.6,73.82,73.15,73.75,718162,DOV
2013-03-11,73.71,73.99,73.43,73.89,686511,DOV
2013-03-12,73.76,73.76,72.83,73.21,671767,DOV
2013-03-13,73.29,73.77,72.89,73.7,1132020,DOV
2013-03-14,73.9,74.62,73.71,74.52,923687,DOV
2013-03-15,74.25,74.57,73.84,74.08,1233477,DOV
2013-03-18,73.31,74.45,73.2112,73.89,583469,DOV
2013-03-19,73.99,74.3,73.05,73.58,860973,DOV
2013-03-20,73.88,74.01,73.0,73.38,1403860,DOV
2013-03-21,73.74,73.86,72.14,72.35,1687925,DOV
2013-03-22,72.4,72.86,72.0,72.79,1488878,DOV
2013-03-25,73.09,73.36,71.64,72.22,1505432,DOV
2013-03-26,72.72,72.98,72.415,72.76,1024674,DOV
2013-03-27,72.36,72.39,71.64,72.34,999112,DOV
2013-03-28,72.34,72.96,72.12,72.88,1532072,DOV
2013-04-01,72.76,72.97,71.52,71.77,739010,DOV
2013-04-02,72.04,72.32,70.94,71.17,703848,DOV
2013-04-03,71.07,71.77,70.32,70.92,1351085,DOV
2013-04-04,71.15,72.11,71.09,71.92,1489691,DOV
2013-04-05,70.94,72.01,70.62,71.75,1086562,DOV
