date,open,high,low,close,volume,Name
2016-12-29,67.91,68.08,67.64,67.75,920141,MMC
2016-12-30,67.92,67.93,67.39,67.59,1397051,MMC
2017-01-03,67.85,68.04,67.31,67.87,2318664,MMC
2017-01-04,67.92,68.525,67.92,68.29,1715110,MMC
2017-01-05,68.28,68.53,68.06,68.31,1562293,MMC
2017-01-06,68.4,68.83,68.25,68.68,1842520,MMC
2017-01-09,68.42,68.4262,67.78,67.8,1167978,MMC
2017-01-10,67.84,68.325,67.46,67.51,1781966,MMC
2017-01-11,67.4,67.68,66.9648,67.44,2162076,MMC
2017-01-12,67.14,67.66,66.75,67.58,2110344,MMC
2017-01-13,67.69,68.1,67.68,67.73,1221958,MMC
2017-01-17,67.4,68.015,67.16,67.64,1384844,MMC
2017-01-18,67.85,68.271,67.58,68.17,1750220,MMC
2017-01-19,68.32,68.32,67.33,67.45,1577612,MMC
2017-01-20,67.62,67.99,67.49,67.99,2107167,MMC
2017-01-23,67.58,67.72,67.33,67.56,1235073,MMC
2017-01-24,67.8,68.36,67.74,68.23,1813272,MMC
2017-01-25,68.52,68.8,68.41,68.66,2163994,MMC
2017-01-26,68.69,69.0,68.55,68.75,1418142,MMC
2017-01-27,68.94,69.18,68.67,68.85,1956768,MMC
2017-01-30,68.56,68.79,67.94,68.34,1874926,MMC
2017-01-31,68.26,68.47,67.7,68.02,2191438,MMC
2017-02-01,68.12,68.41,67.32,67.41,2126318,MMC
2017-02-02,67.78,69.78,67.61,69.55,2931520,MMC
2017-02-03,70.25,70.6,69.69,70.52,2986389,MMC
2017-02-06,70.2,70.645,69.86,69.91,1654894,MMC
2017-02-07,70.19,70.26,69.71,69.77,1127867,MMC
2017-02-08,69.38,70.44,69.33,70.41,2278201,MMC
2017-02-09,70.58,70.87,70.455,70.58,1641454,MMC
2017-02-10,70.69,71.29,70.45,71.08,2866507,MMC
2017-02-13,71.25,71.73,71.03,71.48,1414345,MMC
2017-02-14,71.55,71.99,71.43,71.94,1492129,MMC
2017-02-15,71.88,72.72,71.67,72.63,1609015,MMC
2017-02-16,72.5,73.29,72.44,73.26,2173657,MMC
2017-02-17,72.93,73.52,72.73,73.52,2029848,MMC
2017-02-21,73.38,73.67,72.72,72.93,1729613,MMC
2017-02-22,72.51,73.18,72.5,72.93,1502901,MMC
2017-02-23,73.15,73.57,72.87,73.54,2203063,MMC
2017-02-24,73.18,73.74,72.95,73.51,1908356,MMC
2017-02-27,73.65,73.9,72.66,73.47,868775,MMC
2017-02-28,73.23,73.72,73.05,73.48,1825566,MMC
2017-03-01,74.06,74.76,73.93,74.65,1677264,MMC
2017-03-02,74.52,74.59,74.1,74.13,1248796,MMC
2017-03-03,74.11,74.34,73.87,74.22,1014915,MMC
2017-03-06,73.82,74.27,73.65,73.82,1197874,MMC
2017-03-07,73.59,73.93,73.48,73.62,1261248,MMC
2017-03-08,73.89,73.89,72.91,72.95,2038852,MMC
2017-03-09,73.18,73.34,72.85,73.1,1745870,MMC
2017-03-10,73.47,73.78,73.05,73.67,1363922,MMC
2017-03-13,73.51,74.27,73.51,74.23,1532194,MMC
2017-03-14,73.91,74.5,73.89,74.25,1411403,MMC
2017-03-15,74.25,74.55,73.88,74.35,1376108,MMC
2017-03-16,74.26,74.73,74.26,74.68,1546648,MMC
2017-03-17,74.87,75.23,74.59,75.14,2466080,MMC
2017-03-20,75.0,75.24,74.901,75.03,1719345,MMC
2017-03-21,75.46,75.52,74.12,74.2,1664370,MMC
2017-03-22,74.23,74.71,73.785,74.44,1064973,MMC
2017-03-23,74.33,75.13,74.11,74.61,1725878,MMC
2017-03-24,74.72,75.0,74.39,74.57,2273986,MMC
2017-03-27,73.8,74.795,73.63,74.61,1321929,MMC
2017-03-28,74.38,75.15,74.18,74.92,3454368,MMC
