date,open,high,low,close,volume,Name
2017-10-31,118.5,118.79,117.45,117.53,2498983,UPS
2017-11-01,117.94,118.17,117.18,117.46,2088585,UPS
2017-11-02,117.62,117.75,115.04,116.87,3522331,UPS
2017-11-03,116.87,116.87,115.17,115.46,2957646,UPS
2017-11-06,115.58,116.0,113.6,113.92,3351103,UPS
2017-11-07,113.83,114.86,113.63,113.95,2730433,UPS
2017-11-08,113.66,113.7,112.65,113.13,2371851,UPS
2017-11-09,112.83,113.0,111.72,112.55,2710938,UPS
2017-11-10,111.57,113.27,111.3035,113.23,2840098,UPS
2017-11-13,114.07,114.86,113.53,114.81,3301313,UPS
2017-11-14,114.3,114.5,113.67,114.07,3238234,UPS
2017-11-15,113.75,114.29,112.66,112.89,2153449,UPS
2017-11-16,113.69,114.21,112.9708,113.7,2518380,UPS
2017-11-17,113.33,113.5,112.56,112.94,2155351,UPS
2017-11-20,113.18,113.51,112.82,113.2,2811124,UPS
2017-11-21,113.05,114.135,112.8,113.92,2205374,UPS
2017-11-22,113.93,114.1875,113.59,113.77,1846198,UPS
2017-11-24,114.0,114.19,112.96,113.14,891718,UPS
2017-11-27,113.42,114.66,113.37,114.54,3060515,UPS
2017-11-28,115.11,115.43,114.39,115.19,2025770,UPS
2017-11-29,115.49,119.26,115.33,119.04,4122054,UPS
2017-11-30,119.04,122.0,119.025,121.45,5654168,UPS
2017-12-01,121.89,121.89,119.1,120.31,3141930,UPS
2017-12-04,122.1,125.16,122.1,123.72,4535047,UPS
2017-12-05,123.83,124.0,120.28,120.37,3690947,UPS
2017-12-06,119.69,119.95,117.97,118.29,3346989,UPS
2017-12-07,118.36,120.02,117.85,119.73,3279999,UPS
2017-12-08,120.06,120.13,117.89,119.56,3030422,UPS
2017-12-11,119.33,119.41,117.56,118.05,2765450,UPS
2017-12-12,117.91,118.88,117.61,118.16,2540981,UPS
2017-12-13,118.48,119.33,118.04,118.4,2738497,UPS
2017-12-14,118.1,118.34,116.33,116.84,2817363,UPS
2017-12-15,117.66,118.6,117.3068,118.0,4997181,UPS
2017-12-18,118.76,119.92,118.61,118.81,2580972,UPS
2017-12-19,119.0,119.49,118.55,119.0,2111182,UPS
2017-12-20,120.38,120.73,118.22,118.33,3420036,UPS
2017-12-21,118.475,118.85,117.5,118.58,3377711,UPS
2017-12-22,118.77,119.0,118.21,118.64,1933427,UPS
2017-12-26,118.94,119.08,118.09,118.26,1309064,UPS
2017-12-27,118.2,119.13,118.0501,119.08,1507999,UPS
2017-12-28,119.49,119.56,118.51,119.05,1367260,UPS
2017-12-29,119.05,120.32,119.0,119.15,2614403,UPS
2018-01-02,120.04,123.71,119.61,123.67,5413025,UPS
2018-01-03,124.15,126.69,123.9,126.41,5655594,UPS
2018-01-04,127.01,128.95,126.71,127.23,5473064,UPS
2018-01-05,127.82,128.66,125.77,127.62,3699152,UPS
2018-01-08,128.11,129.52,127.74,129.17,3243045,UPS
2018-01-09,129.23,130.0,128.86,129.11,2957717,UPS
2018-01-10,128.52,130.46,128.49,129.79,2927883,UPS
2018-01-11,130.36,133.77,130.02,133.46,4252297,UPS
2018-01-12,133.45,134.33,133.0,134.09,4212455,UPS
2018-01-16,134.41,134.71,131.76,132.88,4126546,UPS
2018-01-17,133.53,134.3,132.39,134.01,3508825,UPS
2018-01-18,134.65,135.53,133.53,133.59,3371107,UPS
2018-01-19,133.86,134.02,131.92,133.08,3891715,UPS
2018-01-22,132.52,132.9899,131.14,132.86,3099993,UPS
2018-01-23,132.87,132.87,130.91,132.07,2952740,UPS
2018-01-24,132.51,132.9565,130.15,131.69,2862880,UPS
2018-01-25,131.96,131.97,129.71,131.29,3166768,UPS
2018-01-26,131.21,132.72,131.04,132.72,2044532,UPS
2018-01-29,132.76,133.56,130.61,130.64,2753769,UPS
