date,open,high,low,close,volume,Name
2013-03-07,103.25,103.58,103.03,103.41,2619400,BRK.B
2013-03-08,103.98,104.0,103.1,103.63,3509600,BRK.B
2013-03-11,103.77,104.15,103.41,104.07,3268700,BRK.B
2013-03-12,104.09,104.19,102.12,103.01,3767500,BRK.B
2013-03-13,103.06,103.7,102.97,103.65,2876900,BRK.B
2013-03-14,103.81,104.25,103.59,103.99,3178400,BRK.B
2013-03-15,103.67,103.79,102.79,102.79,7253800,BRK.B
2013-03-18,102.11,102.85,101.91,102.12,3585500,BRK.B
2013-03-19,102.37,102.74,101.3,101.77,3343300,BRK.B
2013-03-20,102.18,102.57,101.87,102.34,3284100,BRK.B
2013-03-21,101.94,102.57,101.73,101.96,4422700,BRK.B
2013-03-22,101.99,102.7,101.95,102.57,2427800,BRK.B
2013-03-25,103.0,103.27,101.92,102.4,3238700,BRK.B
2013-03-26,102.89,103.84,102.46,103.82,3473900,BRK.B
2013-03-27,103.21,103.45,102.64,103.16,2358800,BRK.B
2013-03-28,103.32,104.48,102.97,104.2,4531100,BRK.B
2013-04-01,104.17,104.46,103.17,103.47,2416800,BRK.B
2013-04-02,103.96,105.5,103.8,105.14,4082200,BRK.B
2013-04-03,105.53,105.53,104.05,104.24,3894300,BRK.B
2013-04-04,104.66,105.56,104.36,105.13,3836400,BRK.B
2013-04-05,103.91,104.39,103.34,104.15,3680800,BRK.B
2013-04-08,104.54,105.29,103.62,105.26,2500000,BRK.B
2013-04-09,105.38,105.47,104.78,105.12,2666600,BRK.B
2013-04-10,105.27,106.37,104.91,106.33,3108600,BRK.B
2013-04-11,106.38,106.98,106.02,106.73,3547000,BRK.B
2013-04-12,106.5,107.05,106.3,107.04,3082100,BRK.B
2013-04-15,106.84,107.43,104.27,104.52,5594300,BRK.B
2013-04-16,105.29,107.49,105.15,107.16,4429800,BRK.B
2013-04-17,106.42,106.69,104.3,105.17,4493500,BRK.B
2013-04-18,105.02,105.23,102.69,103.0,3964900,BRK.B
2013-04-19,103.46,105.46,103.09,105.28,4167300,BRK.B
2013-04-22,105.52,105.72,104.13,105.02,3108100,BRK.B
2013-04-23,105.42,106.71,105.3,106.68,4082800,BRK.B
2013-04-24,106.72,107.0,106.36,106.75,2443500,BRK.B
2013-04-25,107.02,108.04,106.82,107.47,3579400,BRK.B
2013-04-26,107.54,107.9,106.5,107.1,3869800,BRK.B
2013-04-29,107.19,107.4,106.41,106.61,2573900,BRK.B
2013-04-30,106.6,106.7,105.63,106.32,5047000,BRK.B
2013-05-01,105.97,107.09,105.97,106.12,3133100,BRK.B
2013-05-02,106.49,107.33,106.24,107.3,2569000,BRK.B
2013-05-03,108.26,109.2,108.23,108.64,4447700,BRK.B
2013-05-06,110.95,111.25,109.45,110.0,4929200,BRK.B
2013-05-07,110.49,110.5,109.46,109.9,3679300,BRK.B
2013-05-08,109.96,110.98,109.43,110.94,3814900,BRK.B
2013-05-09,110.85,111.34,110.35,110.66,3405100,BRK.B
2013-05-10,111.1,111.88,111.0,111.82,3786300,BRK.B
2013-05-13,111.83,112.34,111.41,111.74,2806600,BRK.B
2013-05-14,112.08,112.73,111.8,112.67,3891300,BRK.B
2013-05-15,112.57,112.98,112.15,112.77,3854900,BRK.B
2013-05-16,112.52,112.53,111.25,111.54,3621800,BRK.B
2013-05-17,111.95,113.1,111.76,113.02,4791000,BRK.B
2013-05-20,112.87,113.55,112.58,113.0,3096600,BRK.B
2013-05-21,113.07,113.34,112.45,112.7,3614600,BRK.B
2013-05-22,112.82,113.45,111.11,111.85,5845600,BRK.B
2013-05-23,110.46,111.72,109.11,111.29,5564700,BRK.B
2013-05-24,110.5,110.83,109.92,110.83,3517000,BRK.B
2013-05-28,112.17,112.5,111.76,112.28,5312600,BRK.B
2013-05-29,111.66,113.46,111.41,113.03,4557200,BRK.B
2013-05-30,113.37,115.0,113.31,114.84,5531300,BRK.B
2013-05-31,114.82,115.0,113.88,114.07,8636300,BRK.B
2013-06-03,114.76,114.76,113.03,114.07,4944800,BRK.B
