date,open,high,low,close,volume,Name
2016-09-28,59.0,59.27,57.02,58.01,4878139,WDC
2016-09-29,58.43,59.86,57.57,58.27,5366641,WDC
2016-09-30,58.43,59.15,57.69,58.47,4396809,WDC
2016-10-03,59.02,60.47,58.74,58.86,5164389,WDC
2016-10-04,59.35,59.55,58.24,58.69,4601207,WDC
2016-10-05,58.49,59.69,58.19,59.24,4441993,WDC
2016-10-06,59.2,59.262,57.27,58.05,4964569,WDC
2016-10-07,57.91,59.11,57.87,58.67,3517186,WDC
2016-10-10,59.34,59.73,58.73,59.26,3761356,WDC
2016-10-11,59.26,59.35,56.05,56.62,6387849,WDC
2016-10-12,56.75,57.86,55.97,56.43,4292544,WDC
2016-10-13,55.62,55.63,53.7342,55.28,4978106,WDC
2016-10-14,55.62,56.47,54.71,54.84,3832916,WDC
2016-10-17,54.82,55.72,52.43,53.18,6593534,WDC
2016-10-18,54.07,54.36,53.0,53.99,3133732,WDC
2016-10-19,52.7,53.97,52.1,53.6,3705863,WDC
2016-10-20,53.59,54.3,53.3,53.86,2215172,WDC
2016-10-21,53.53,53.64,52.62,53.07,2764605,WDC
2016-10-24,53.32,53.75,53.16,53.52,3157295,WDC
2016-10-25,54.05,54.44,53.11,53.63,3335186,WDC
2016-10-26,53.52,56.67,53.14,56.52,8825995,WDC
2016-10-27,58.55,61.97,58.5,59.58,15085521,WDC
2016-10-28,59.68,61.0,59.1,59.21,4760215,WDC
2016-10-31,59.25,59.95,58.43,58.44,3363161,WDC
2016-11-01,58.51,58.9,56.3,57.24,3821098,WDC
2016-11-02,57.11,57.63,55.14,55.2,4216225,WDC
2016-11-03,55.43,55.98,54.87,55.14,3192636,WDC
2016-11-04,54.72,55.97,54.2601,55.02,2705620,WDC
2016-11-07,56.41,57.96,56.3,57.67,4502963,WDC
2016-11-08,57.34,57.77,56.65,57.26,2974875,WDC
2016-11-09,56.08,58.04,55.05,57.48,5819446,WDC
2016-11-10,57.98,59.49,56.6594,56.84,4856342,WDC
2016-11-11,56.72,58.99,56.26,58.89,6219953,WDC
2016-11-14,58.66,60.54,58.65,59.48,4415563,WDC
2016-11-15,59.49,59.985,58.71,59.71,4047864,WDC
2016-11-16,59.52,59.83,58.86,59.53,2961160,WDC
2016-11-17,59.71,60.25,57.62,58.8,6615963,WDC
2016-11-18,58.97,60.93,58.3,60.93,4837313,WDC
2016-11-21,61.1,62.34,60.87,61.17,3887203,WDC
2016-11-22,61.45,61.889,60.32,61.19,2696428,WDC
2016-11-23,60.8,61.48,60.3,61.04,2201640,WDC
2016-11-25,60.96,61.72,60.6603,61.59,1315405,WDC
2016-11-28,61.03,63.1199,61.03,62.27,4726728,WDC
2016-11-29,62.29,64.29,62.29,62.67,5052997,WDC
2016-11-30,63.26,64.3699,62.75,63.66,5383041,WDC
2016-12-01,63.87,65.99,61.37,61.61,5508385,WDC
2016-12-02,61.51,63.65,61.51,63.35,3496934,WDC
2016-12-05,64.14,64.875,60.78,62.09,6865574,WDC
2016-12-06,62.07,64.266,61.85,63.85,5049511,WDC
2016-12-07,67.92,69.6,66.311,69.15,15474985,WDC
2016-12-08,69.23,69.5,67.57,68.25,4771074,WDC
2016-12-09,68.4,69.4,67.57,67.71,3101065,WDC
2016-12-12,67.69,67.69,65.08,66.29,3637672,WDC
2016-12-13,66.59,68.8,66.59,67.9,3550223,WDC
2016-12-14,67.45,68.29,66.74,67.17,2558199,WDC
2016-12-15,67.3,68.84,66.8,67.89,2804080,WDC
2016-12-16,68.78,68.79,66.91,67.18,4851758,WDC
2016-12-19,67.34,68.43,67.02,68.36,2549476,WDC
2016-12-20,69.21,71.6656,68.73,68.95,4286290,WDC
2016-12-21,69.01,69.79,68.27,69.22,2736048,WDC
2016-12-22,71.39,72.01,69.81,70.19,5459274,WDC
