date,open,high,low,close,volume,Name
2014-10-07,59.92,59.92,59.185,59.27,14542010,JPM
2014-10-08,59.36,60.43,59.18,60.4,15834553,JPM
2014-10-09,60.33,60.33,58.89,59.08,19191404,JPM
2014-10-10,59.03,59.82,58.51,58.52,16690858,JPM
2014-10-13,58.5,59.145,58.11,58.16,17169312,JPM
2014-10-14,56.69,58.52,56.06,57.99,29096840,JPM
2014-10-15,57.02,57.38,54.26,55.53,37866911,JPM
2014-10-16,54.75,55.98,54.28,55.08,31970014,JPM
2014-10-17,55.73,56.78,55.57,56.2,20183543,JPM
2014-10-20,56.1,56.7472,56.07,56.63,10808475,JPM
2014-10-21,57.23,58.01,57.08,57.93,14020373,JPM
2014-10-22,58.04,58.26,57.44,57.45,13750741,JPM
2014-10-23,58.12,58.6,57.935,58.06,12641874,JPM
2014-10-24,58.0,58.775,58.0,58.74,13757981,JPM
2014-10-27,58.45,58.79,58.25,58.64,11087209,JPM
2014-10-28,58.87,59.69,58.81,59.63,13625017,JPM
2014-10-29,59.62,59.78,58.76,59.29,16715852,JPM
2014-10-30,58.94,59.68,58.92,59.39,14709756,JPM
2014-10-31,60.12,60.54,59.87,60.48,18351059,JPM
2014-11-03,60.79,61.15,60.36,60.88,11854189,JPM
2014-11-04,60.24,60.37,59.42,60.25,15295771,JPM
2014-11-05,60.8,61.23,60.39,61.15,14063812,JPM
2014-11-06,61.08,61.3101,60.63,61.23,10421612,JPM
2014-11-07,61.07,61.55,60.86,61.47,12384620,JPM
2014-11-10,61.25,61.93,61.2,61.93,10800981,JPM
2014-11-11,61.71,61.89,61.29,61.37,12539830,JPM
2014-11-12,60.42,60.84,60.23,60.56,17219648,JPM
2014-11-13,60.5,60.63,59.99,60.23,12240366,JPM
2014-11-14,60.25,60.62,60.18,60.28,6803396,JPM
2014-11-17,60.0,60.53,59.89,60.38,9017649,JPM
2014-11-18,60.35,60.82,60.2,60.53,8899839,JPM
2014-11-19,60.45,60.79,60.15,60.6,9210079,JPM
2014-11-20,60.2,60.25,59.75,60.12,10917299,JPM
2014-11-21,61.07,61.07,60.3,60.45,12340450,JPM
2014-11-24,60.7,61.305,60.7,60.96,8335037,JPM
2014-11-25,61.16,61.16,59.95,60.3,14802617,JPM
2014-11-26,60.57,60.57,60.2,60.34,7628731,JPM
2014-11-28,59.98,60.21,59.55,60.0,12760463,JPM
2014-12-01,59.98,60.21,59.55,60.0,12771602,JPM
2014-12-02,60.01,61.19,60.0,61.08,12546594,JPM
2014-12-03,60.96,61.62,60.81,61.54,12115506,JPM
2014-12-04,61.1,61.57,60.84,61.38,11542085,JPM
2014-12-05,62.01,63.06,61.88,62.7,20071134,JPM
2014-12-08,62.6,63.16,62.26,62.67,15535482,JPM
2014-12-09,61.85,62.85,61.56,62.45,19676435,JPM
2014-12-10,62.16,62.24,60.37,60.68,29620579,JPM
2014-12-11,61.17,62.06,61.11,61.14,16886249,JPM
2014-12-12,60.53,61.22,59.96,60.04,17405430,JPM
2014-12-15,60.74,60.81,58.79,59.16,19209927,JPM
2014-12-16,58.42,59.86,58.11,58.43,20709745,JPM
2014-12-17,58.57,59.83,58.34,59.77,17856440,JPM
2014-12-18,60.64,61.48,60.44,61.48,18173357,JPM
2014-12-19,61.4,62.35,61.37,61.93,22756410,JPM
2014-12-22,62.16,62.33,61.61,61.94,17073371,JPM
2014-12-23,62.05,62.97,61.93,62.48,13552615,JPM
2014-12-24,62.74,62.87,62.27,62.48,7419342,JPM
2014-12-26,62.67,62.89,62.41,62.55,6086519,JPM
2014-12-29,62.42,63.34,62.25,62.96,10601197,JPM
2014-12-30,62.72,63.28,62.57,63.15,7518059,JPM
2014-12-31,63.3,63.49,62.58,62.58,18529419,JPM
2015-01-02,62.62,62.96,62.07,62.49,12599991,JPM
