date,open,high,low,close,volume,Name
2013-04-04,108.56,109.84,108.5,109.73,258764,FRT
2013-04-05,109.19,110.65,108.56,110.61,381479,FRT
2013-04-08,110.52,111.78,110.1,111.74,341954,FRT
2013-04-09,112.03,112.56,110.8,111.83,324401,FRT
2013-04-10,112.15,112.913,111.825,112.69,256636,FRT
2013-04-11,112.61,113.65,112.44,112.94,248570,FRT
2013-04-12,112.7,113.72,112.49,113.72,238376,FRT
2013-04-15,113.12,113.4,111.05,111.26,327000,FRT
2013-04-16,111.73,112.82,110.77,111.81,444605,FRT
2013-04-17,111.1,111.19,109.9,110.81,369593,FRT
2013-04-18,110.99,111.48,110.15,111.0,234060,FRT
2013-04-19,111.18,113.55,110.8,113.37,386112,FRT
2013-04-22,113.54,113.74,112.1,113.42,278589,FRT
2013-04-23,113.85,114.46,113.47,113.94,245205,FRT
2013-04-24,113.98,114.77,113.3,113.97,202080,FRT
2013-04-25,114.07,115.35,112.96,114.57,273627,FRT
2013-04-26,114.46,114.73,113.88,114.28,314219,FRT
2013-04-29,114.71,115.41,113.92,115.28,201110,FRT
2013-04-30,115.25,117.18,114.77,117.01,459878,FRT
2013-05-01,116.22,117.12,115.49,115.78,315321,FRT
2013-05-02,115.94,117.34,115.4,116.66,434593,FRT
2013-05-03,118.11,118.13,116.82,117.37,271431,FRT
2013-05-06,117.25,118.52,116.87,117.29,242243,FRT
2013-05-07,117.24,117.83,116.42,116.64,316369,FRT
2013-05-08,116.63,117.08,115.78,116.71,348336,FRT
2013-05-09,116.94,116.94,115.83,116.01,242299,FRT
2013-05-10,116.15,116.55,115.86,116.41,161315,FRT
2013-05-13,116.42,117.12,116.06,117.12,282986,FRT
2013-05-14,116.9,118.054,116.57,116.7,328532,FRT
2013-05-15,116.8,117.98,116.36,117.96,480419,FRT
2013-05-16,118.06,118.21,116.21,116.54,229291,FRT
2013-05-17,117.01,117.29,116.24,116.82,337053,FRT
2013-05-20,116.6,117.05,116.52,116.76,255691,FRT
2013-05-21,117.08,117.94,116.972,117.42,281213,FRT
2013-05-22,117.41,118.04,113.75,114.14,440733,FRT
2013-05-23,112.35,112.81,111.19,111.6,545930,FRT
2013-05-24,111.39,113.63,110.76,113.34,434420,FRT
2013-05-28,114.06,114.49,111.45,112.46,420012,FRT
2013-05-29,111.57,112.0576,108.77,110.22,432634,FRT
2013-05-30,110.46,111.08,109.08,109.12,409944,FRT
2013-05-31,109.07,110.03,107.7,107.75,534736,FRT
2013-06-03,107.89,108.94,106.61,108.24,361008,FRT
2013-06-04,108.48,108.48,106.93,106.95,432171,FRT
2013-06-05,106.93,107.2728,105.76,106.06,288748,FRT
2013-06-06,105.88,107.62,105.06,107.59,500465,FRT
2013-06-07,107.78,107.825,105.96,107.4,646322,FRT
2013-06-10,107.48,107.66,106.45,106.69,299086,FRT
2013-06-11,104.94,106.58,104.56,105.71,476286,FRT
2013-06-12,105.87,106.26,103.27,103.48,591151,FRT
2013-06-13,103.18,105.8,103.18,105.46,557252,FRT
2013-06-14,105.7,107.22,105.3,105.8,442884,FRT
2013-06-17,106.49,106.86,104.684,105.3,442966,FRT
2013-06-18,105.24,105.74,104.35,104.85,430633,FRT
2013-06-19,103.78,104.59,100.11,100.77,354628,FRT
2013-06-20,99.51,99.7499,95.81,96.21,472145,FRT
2013-06-21,96.82,98.16,94.84,97.23,712605,FRT
2013-06-24,96.16,98.5,94.35,96.68,421910,FRT
2013-06-25,97.29,99.22,96.19,98.57,554189,FRT
2013-06-26,99.34,100.29,99.14,99.65,493230,FRT
2013-06-27,100.46,103.38,100.39,103.11,482882,FRT
2013-06-28,103.23,104.16,102.11,103.68,896956,FRT
