date,open,high,low,close,volume,Name
2014-12-08,94.21,94.5,93.412,93.8,6682153,DIS
2014-12-09,93.51,93.57,91.76,92.94,9522100,DIS
2014-12-10,92.52,92.83,91.55,91.63,10346075,DIS
2014-12-11,91.09,92.66,90.66,91.75,8227812,DIS
2014-12-12,91.18,92.61,90.95,91.49,7890850,DIS
2014-12-15,92.03,92.69,90.19,90.9,6746824,DIS
2014-12-16,90.5,92.0,90.13,90.17,6549387,DIS
2014-12-17,90.36,91.68,90.2,91.38,6890832,DIS
2014-12-18,92.19,92.61,91.86,92.61,9387548,DIS
2014-12-19,92.34,93.2,91.88,92.89,12837921,DIS
2014-12-22,93.39,94.36,93.22,94.2,7477481,DIS
2014-12-23,94.48,95.07,94.4,94.69,5385780,DIS
2014-12-24,94.69,95.12,94.37,94.42,2166034,DIS
2014-12-26,94.74,95.3142,94.52,95.03,3142431,DIS
2014-12-29,94.74,95.93,94.686,95.5,3584362,DIS
2014-12-30,95.21,95.5,94.5,94.7,3490053,DIS
2014-12-31,95.13,95.52,94.03,94.19,4797034,DIS
2015-01-02,94.91,95.28,92.8486,93.75,5865420,DIS
2015-01-05,93.28,93.35,91.78,92.38,7789422,DIS
2015-01-06,92.57,93.191,91.157,91.89,6802381,DIS
2015-01-07,92.72,93.15,92.1,92.83,6589494,DIS
2015-01-08,93.87,94.3,93.555,93.79,7579358,DIS
2015-01-09,94.05,95.27,93.99,94.25,8621330,DIS
2015-01-12,94.69,94.76,93.77,94.46,6586223,DIS
2015-01-13,95.28,96.43,94.7,95.19,9364297,DIS
2015-01-14,94.0,94.8,93.29,94.23,6509293,DIS
2015-01-15,94.61,94.96,94.04,94.35,5662230,DIS
2015-01-16,94.0,95.23,93.98,95.18,6117011,DIS
2015-01-20,95.22,95.39,93.75,94.74,7947593,DIS
2015-01-21,94.37,94.74,93.82,94.17,7474730,DIS
2015-01-22,94.58,95.39,94.01,95.15,7014169,DIS
2015-01-23,94.92,95.53,94.43,94.72,4664712,DIS
2015-01-26,94.45,95.0,93.93,94.97,5446906,DIS
2015-01-27,93.94,94.74,93.361,93.97,5390006,DIS
2015-01-28,94.14,94.47,92.61,92.67,6198396,DIS
2015-01-29,93.11,93.5,91.52,93.22,7681669,DIS
2015-01-30,92.5,92.9375,90.83,90.96,10212270,DIS
2015-02-02,91.3,92.05,90.06,91.93,9392029,DIS
2015-02-03,92.43,94.11,92.19,94.1,12329105,DIS
2015-02-04,99.39,101.94,98.82,101.28,32640456,DIS
2015-02-05,100.76,102.84,100.51,102.64,14089453,DIS
2015-02-06,102.67,102.99,101.65,102.02,8535248,DIS
2015-02-09,101.8,102.5,101.45,101.73,5461981,DIS
2015-02-10,101.96,102.19,101.18,101.92,5726347,DIS
2015-02-11,102.01,102.02,101.07,101.87,5868228,DIS
2015-02-12,102.16,103.85,101.7,103.58,6816814,DIS
2015-02-13,103.73,104.405,103.43,104.17,5175636,DIS
2015-02-17,104.23,104.45,103.57,104.12,4759334,DIS
2015-02-18,103.4,104.33,103.4,103.86,3760192,DIS
2015-02-19,104.0,104.08,103.55,103.89,5094137,DIS
2015-02-20,103.86,104.69,102.7302,104.55,5196956,DIS
2015-02-23,104.76,105.23,104.44,104.99,5587069,DIS
2015-02-24,104.54,105.05,104.35,104.67,4099805,DIS
2015-02-25,104.68,105.98,104.67,105.57,6547243,DIS
2015-02-26,105.5,105.71,104.14,104.56,5048999,DIS
2015-02-27,104.67,105.1396,103.96,104.08,4161605,DIS
2015-03-02,104.35,105.98,104.35,105.89,5635530,DIS
2015-03-03,105.78,106.64,105.21,106.35,4671949,DIS
2015-03-04,105.86,106.0,104.78,105.57,4972937,DIS
2015-03-05,105.54,105.81,104.87,105.03,3954726,DIS
2015-03-06,104.67,105.0,103.49,103.82,5704232,DIS
