date,open,high,low,close,volume,Name
2015-07-01,67.98,68.13,67.39,67.64,2151564,ETN
2015-07-02,67.76,68.23,67.35,67.41,1971058,ETN
2015-07-06,66.66,67.45,66.35,66.74,1868899,ETN
2015-07-07,66.92,66.96,65.27,66.91,3143465,ETN
2015-07-08,66.41,66.51,65.21,65.41,2036997,ETN
2015-07-09,66.22,67.72,65.39,65.39,2297215,ETN
2015-07-10,66.25,66.38,65.43,65.77,1570240,ETN
2015-07-13,66.28,66.48,65.95,66.41,1795525,ETN
2015-07-14,66.26,66.61,66.04,66.43,1712125,ETN
2015-07-15,66.3,66.36,65.42,65.74,2299917,ETN
2015-07-16,66.33,66.4,65.6,65.98,2103188,ETN
2015-07-17,65.66,65.97,64.91,65.11,2177670,ETN
2015-07-20,65.04,65.51,64.95,65.25,1659398,ETN
2015-07-21,64.98,65.14,63.91,64.01,3461995,ETN
2015-07-22,63.79,64.2,63.37,63.48,2167038,ETN
2015-07-23,63.41,63.8105,62.87,62.99,3664898,ETN
2015-07-24,63.0,63.03,60.48,61.15,7003745,ETN
2015-07-27,60.85,61.23,60.335,60.57,3084930,ETN
2015-07-28,61.07,61.795,60.685,61.49,3041183,ETN
2015-07-29,60.05,62.52,59.5,61.8,7330771,ETN
2015-07-30,60.64,61.28,60.12,61.08,3394471,ETN
2015-07-31,61.31,61.31,60.51,60.58,3295168,ETN
2015-08-03,60.45,60.58,59.84,60.26,2767745,ETN
2015-08-04,60.43,60.71,59.49,59.58,3022150,ETN
2015-08-05,60.11,60.6,59.5,59.62,3420158,ETN
2015-08-06,59.88,60.42,59.5,59.98,2528258,ETN
2015-08-07,59.83,60.29,59.55,59.85,2371350,ETN
2015-08-10,60.26,61.4,60.15,61.39,2425208,ETN
2015-08-11,60.65,60.65,59.77,60.11,2668060,ETN
2015-08-12,59.78,60.41,59.43,60.3,2953456,ETN
2015-08-13,59.98,60.59,59.7,59.94,1719018,ETN
2015-08-14,59.6,60.26,59.6,59.96,2080336,ETN
2015-08-17,59.66,60.43,59.26,60.33,1375452,ETN
2015-08-18,60.07,60.23,59.74,59.82,2128754,ETN
2015-08-19,59.36,59.61,58.21,58.65,3259631,ETN
2015-08-20,58.29,58.61,58.0,58.12,3600350,ETN
2015-08-21,57.63,58.0,56.69,56.69,4869162,ETN
2015-08-24,51.77,56.07,49.21,54.32,6020168,ETN
2015-08-25,56.39,56.39,52.67,52.71,4600337,ETN
2015-08-26,54.01,54.775,53.14,54.57,4609687,ETN
2015-08-27,55.25,56.74,55.01,56.63,4180453,ETN
2015-08-28,56.35,57.45,56.165,57.05,2974520,ETN
2015-08-31,56.7,57.54,56.13,57.06,2835255,ETN
2015-09-01,55.75,56.32,54.61,54.9,3634443,ETN
2015-09-02,55.79,55.79,54.54,55.57,2914996,ETN
2015-09-03,55.33,56.02,55.04,55.29,3216686,ETN
2015-09-04,54.49,55.31,54.13,55.05,3366998,ETN
2015-09-08,55.98,56.81,55.76,56.68,2952013,ETN
2015-09-09,57.34,57.63,55.87,55.99,2676011,ETN
2015-09-10,56.13,56.515,55.46,55.86,2396002,ETN
2015-09-11,55.91,56.16,55.34,55.72,1762794,ETN
2015-09-14,55.64,55.735,54.55,54.68,4092788,ETN
2015-09-15,54.71,55.82,54.55,55.74,3461474,ETN
2015-09-16,55.79,56.65,55.53,56.54,2364096,ETN
2015-09-17,56.23,56.42,54.91,55.05,4300842,ETN
2015-09-18,54.3,54.44,52.51,52.93,6767394,ETN
2015-09-21,53.03,53.49,52.69,53.26,3546522,ETN
2015-09-22,52.45,53.01,52.15,53.0,3802452,ETN
2015-09-23,53.06,53.1761,52.2101,52.36,3649920,ETN
2015-09-24,51.73,52.325,50.86,52.19,6620242,ETN
2015-09-25,52.4,52.56,51.62,51.92,6819522,ETN
