date,open,high,low,close,volume,Name
2015-06-30,40.81,40.94,40.49,40.565,1222386,CHD
2015-07-01,40.725,41.39,40.61,41.37,1569930,CHD
2015-07-02,41.365,41.455,40.925,41.06,1355798,CHD
2015-07-06,40.885,41.14,40.685,40.905,3502632,CHD
2015-07-07,40.91,41.8,40.77,41.775,1145560,CHD
2015-07-08,41.505,41.92,41.505,41.79,1244508,CHD
2015-07-09,42.0,42.2,41.55,41.59,1042968,CHD
2015-07-10,41.875,42.105,41.83,42.055,909120,CHD
2015-07-13,42.425,42.56,42.22,42.435,877284,CHD
2015-07-14,42.5,42.615,42.245,42.41,806360,CHD
2015-07-15,42.475,42.625,42.315,42.4,862054,CHD
2015-07-16,42.585,42.98,42.53,42.905,1397038,CHD
2015-07-17,42.865,42.865,42.435,42.485,868096,CHD
2015-07-20,42.5,42.865,42.455,42.85,662792,CHD
2015-07-21,42.74,42.785,42.3,42.36,1208352,CHD
2015-07-22,42.3,42.59,42.245,42.555,908380,CHD
2015-07-23,42.63,42.715,42.335,42.39,683048,CHD
2015-07-24,42.395,42.5549,42.195,42.245,745218,CHD
2015-07-27,42.095,42.32,41.965,42.31,642428,CHD
2015-07-28,42.4,42.775,42.32,42.755,877546,CHD
2015-07-29,42.705,43.195,42.705,43.16,739240,CHD
2015-07-30,43.1,43.395,42.735,43.39,748960,CHD
2015-07-31,43.5,43.518,43.115,43.165,1064708,CHD
2015-08-03,43.165,43.705,43.155,43.695,1278282,CHD
2015-08-04,43.89,44.245,43.705,44.005,1263384,CHD
2015-08-05,44.14,45.02,44.03,44.745,1860138,CHD
2015-08-06,44.905,44.99,44.335,44.675,1115218,CHD
2015-08-07,44.415,44.53,44.265,44.52,1452136,CHD
2015-08-10,44.645,44.875,44.4675,44.59,772054,CHD
2015-08-11,44.315,44.455,44.1,44.215,1013390,CHD
2015-08-12,43.905,44.545,43.665,44.545,1380180,CHD
2015-08-13,44.51,44.775,44.4,44.63,636106,CHD
2015-08-14,44.66,44.84,44.4975,44.825,545852,CHD
2015-08-17,44.74,45.16,44.45,45.16,1109732,CHD
2015-08-18,45.23,45.365,44.95,45.285,940322,CHD
2015-08-19,45.075,45.075,44.685,44.875,948292,CHD
2015-08-20,44.57,44.7499,44.3,44.325,910434,CHD
2015-08-21,44.095,44.25,43.35,43.35,1066434,CHD
2015-08-24,41.365,43.08,41.05,42.49,3031990,CHD
2015-08-25,43.365,43.5,41.445,41.475,1695864,CHD
2015-08-26,42.27,42.605,41.41,42.495,1377546,CHD
2015-08-27,42.925,43.295,42.455,43.27,1399976,CHD
2015-08-28,43.185,43.545,42.83,43.425,1961206,CHD
2015-08-31,43.285,43.495,42.755,43.14,2001362,CHD
2015-09-01,42.49,42.7,41.83,41.96,1407162,CHD
2015-09-02,42.255,42.505,42.0375,42.425,1556958,CHD
2015-09-03,42.605,43.155,42.45,43.015,839552,CHD
2015-09-04,42.525,42.7525,42.34,42.465,1085070,CHD
2015-09-08,43.01,43.27,42.655,43.255,1202522,CHD
2015-09-09,43.5,43.66,42.535,42.615,1030268,CHD
2015-09-10,42.5,42.885,42.34,42.495,934436,CHD
2015-09-11,41.635,42.205,41.505,42.045,2117982,CHD
2015-09-14,42.065,42.0949,41.575,41.715,1134856,CHD
2015-09-15,41.8,42.2499,41.71,42.12,984506,CHD
2015-09-16,42.12,42.315,42.015,42.235,1542280,CHD
2015-09-17,42.3,42.81,42.19,42.42,1213824,CHD
2015-09-18,42.115,42.335,41.86,41.945,2013832,CHD
2015-09-21,42.215,42.495,42.05,42.4,673684,CHD
2015-09-22,42.0,42.27,41.765,41.995,985300,CHD
2015-09-23,42.09,42.23,41.865,42.05,709318,CHD
2015-09-24,41.9,42.43,41.755,42.385,1787458,CHD
