date,open,high,low,close,volume,Name
2017-09-22,37.25,37.32,36.93,37.12,3383822,EXC
2017-09-25,37.14,37.66,37.02,37.6,4546787,EXC
2017-09-26,37.52,37.52,37.155,37.17,3971960,EXC
2017-09-27,37.0,37.285,36.88,37.15,5833880,EXC
2017-09-28,37.0,37.61,36.83,37.4,4253414,EXC
2017-09-29,37.48,37.96,37.44,37.67,6891931,EXC
2017-10-02,37.81,38.39,37.65,38.14,8714505,EXC
2017-10-03,38.12,38.14,37.55,37.84,5183193,EXC
2017-10-04,37.85,38.21,37.69,38.19,4971860,EXC
2017-10-05,38.2,38.385,37.99,38.35,5434521,EXC
2017-10-06,38.12,38.25,37.93,38.15,4122048,EXC
2017-10-09,38.16,38.32,37.975,38.04,2484584,EXC
2017-10-10,38.17,38.41,38.01,38.3,2403374,EXC
2017-10-11,37.93,38.5,37.93,38.46,4909203,EXC
2017-10-12,38.4,38.95,38.25,38.94,4733762,EXC
2017-10-13,39.0,39.43,38.92,39.24,6376659,EXC
2017-10-16,39.15,39.74,38.98,39.67,8556000,EXC
2017-10-17,39.56,39.72,39.22,39.6,4238792,EXC
2017-10-18,39.58,39.68,39.35,39.62,2726499,EXC
2017-10-19,39.6,39.88,39.44,39.77,4810929,EXC
2017-10-20,39.75,39.81,39.34,39.58,4235605,EXC
2017-10-23,39.59,39.82,39.385,39.74,3653023,EXC
2017-10-24,39.74,40.0,39.6,39.96,3808619,EXC
2017-10-25,39.87,40.18,39.31,40.06,4692319,EXC
2017-10-26,40.25,40.34,39.87,39.88,3993835,EXC
2017-10-27,39.81,40.325,39.74,40.25,2783561,EXC
2017-10-30,40.07,40.27,39.94,40.24,4885574,EXC
2017-10-31,40.22,40.38,40.1,40.21,3692376,EXC
2017-11-01,40.32,40.36,39.98,40.15,5209993,EXC
2017-11-02,40.1,40.81,39.47,40.72,7794392,EXC
2017-11-03,40.75,41.56,40.56,40.94,5709327,EXC
2017-11-06,40.97,41.14,40.62,40.69,3895554,EXC
2017-11-07,40.73,41.49,40.66,41.27,4183768,EXC
2017-11-08,41.29,41.47,40.84,41.32,3815502,EXC
2017-11-09,41.21,41.54,41.03,41.14,3580308,EXC
2017-11-10,40.86,41.43,40.86,41.3,3881589,EXC
2017-11-13,41.38,42.18,41.3,42.09,5310225,EXC
2017-11-14,41.75,42.455,41.59,42.39,5277986,EXC
2017-11-15,42.46,42.67,41.68,41.77,5777193,EXC
2017-11-16,41.6,41.65,41.11,41.24,6987052,EXC
2017-11-17,41.19,41.36,41.06,41.26,4821277,EXC
2017-11-20,41.32,41.64,41.21,41.35,3799828,EXC
2017-11-21,41.46,41.665,41.34,41.39,3081803,EXC
2017-11-22,41.44,41.55,41.21,41.5,3058883,EXC
2017-11-24,41.5,41.745,41.47,41.63,1432571,EXC
2017-11-27,41.7,41.82,41.46,41.65,4359227,EXC
2017-11-28,41.78,42.11,41.74,41.96,3857257,EXC
2017-11-29,41.83,41.9086,41.485,41.69,4487208,EXC
2017-11-30,41.75,41.96,41.431,41.71,7346092,EXC
2017-12-01,41.89,42.09,41.26,41.83,5908711,EXC
2017-12-04,41.89,42.0,41.42,41.56,4939457,EXC
2017-12-05,41.58,41.71,40.95,41.25,6139685,EXC
2017-12-06,41.48,41.65,40.781,41.12,5384084,EXC
2017-12-07,41.14,41.17,39.55,40.81,6814267,EXC
2017-12-08,40.62,41.07,40.37,41.05,7950218,EXC
2017-12-11,41.09,41.95,41.09,41.92,8716519,EXC
2017-12-12,41.78,41.89,40.96,41.01,7944133,EXC
2017-12-13,41.0,41.49,40.86,41.13,8641586,EXC
2017-12-14,41.065,41.26,40.61,40.81,4694922,EXC
2017-12-15,40.85,41.015,40.68,40.74,9017425,EXC
2017-12-18,40.99,41.08,40.39,40.48,4976653,EXC
