date,open,high,low,close,volume,Name
2016-09-23,98.31,98.785,97.96,98.17,626520,VAR
2016-09-26,97.74,98.04,97.33,97.65,381375,VAR
2016-09-27,97.88,99.0,97.62,98.81,419826,VAR
2016-09-28,98.73,99.66,98.73,99.55,534998,VAR
2016-09-29,99.41,99.49,97.85,98.54,706527,VAR
2016-09-30,99.12,100.07,99.07,99.53,1152026,VAR
2016-10-03,99.02,99.56,98.2,99.43,520515,VAR
2016-10-04,99.36,99.92,98.88,99.23,546970,VAR
2016-10-05,99.51,99.73,99.0,99.11,770993,VAR
2016-10-06,98.99,99.12,98.44,98.87,575008,VAR
2016-10-07,98.94,99.26,98.35,99.02,643839,VAR
2016-10-10,99.48,100.42,98.8,98.91,1166207,VAR
2016-10-11,98.63,98.74,96.59,97.22,819896,VAR
2016-10-12,97.5,97.7,97.12,97.14,501565,VAR
2016-10-13,96.51,96.68,95.85,96.28,924100,VAR
2016-10-14,96.71,96.79,95.7,95.76,693528,VAR
2016-10-17,95.76,95.93,95.24,95.87,513192,VAR
2016-10-18,96.75,97.23,96.161,96.38,630446,VAR
2016-10-19,96.38,97.01,96.141,96.93,439937,VAR
2016-10-20,96.87,106.695,96.63,100.29,8171111,VAR
2016-10-21,99.43,99.43,96.77,97.25,1585300,VAR
2016-10-24,97.89,98.1855,97.3,97.57,696678,VAR
2016-10-25,97.47,97.69,95.34,95.45,759508,VAR
2016-10-26,94.78,94.78,93.385,94.08,1340995,VAR
2016-10-27,88.33,90.73,87.78,89.95,2571345,VAR
2016-10-28,89.97,91.09,89.67,90.09,772294,VAR
2016-10-31,90.02,91.58,88.97,90.73,1184811,VAR
2016-11-01,91.14,91.24,89.22,89.7,1148214,VAR
2016-11-02,89.71,90.43,89.16,89.39,709325,VAR
2016-11-03,89.84,90.37,89.37,89.46,535075,VAR
2016-11-04,89.68,90.27,89.1,89.14,814531,VAR
2016-11-07,90.41,91.12,89.86,91.07,626040,VAR
2016-11-08,91.03,92.06,90.2,91.69,626249,VAR
2016-11-09,89.52,90.0,85.76,88.51,1723280,VAR
2016-11-10,89.34,89.985,87.53,88.85,1091209,VAR
2016-11-11,88.58,89.16,87.85,87.99,666722,VAR
2016-11-14,88.03,88.8,87.52,87.84,993091,VAR
2016-11-15,88.11,89.56,88.03,89.36,608998,VAR
2016-11-16,89.22,89.6,88.435,88.62,714988,VAR
2016-11-17,88.73,89.65,88.73,89.52,579282,VAR
2016-11-18,89.28,89.98,87.99,88.25,1659820,VAR
2016-11-21,88.35,89.83,88.35,89.66,658576,VAR
2016-11-22,89.33,90.04,88.59,89.99,637667,VAR
2016-11-23,89.76,91.62,89.5,91.62,621019,VAR
2016-11-25,91.89,92.45,91.6,92.14,317563,VAR
2016-11-28,91.66,92.13,90.995,91.08,629746,VAR
2016-11-29,91.09,91.87,91.09,91.36,520549,VAR
2016-11-30,91.3,91.36,89.351,89.83,877115,VAR
2016-12-01,89.95,90.18,88.43,88.67,719253,VAR
2016-12-02,89.27,90.0,88.51,89.78,557818,VAR
2016-12-05,90.4,90.54,89.71,90.1,1110999,VAR
2016-12-06,90.5,90.7,88.67,89.78,634209,VAR
2016-12-07,89.32,90.54,88.585,90.22,757982,VAR
2016-12-08,90.3,90.73,89.97,90.54,734712,VAR
2016-12-09,90.57,91.38,90.45,91.24,526099,VAR
2016-12-12,91.09,91.72,91.06,91.48,567711,VAR
2016-12-13,91.8,92.57,91.43,92.19,755695,VAR
2016-12-14,92.09,92.27,90.36,90.81,889863,VAR
2016-12-15,90.66,91.42,90.3801,91.26,824547,VAR
2016-12-16,91.58,91.98,90.9,91.06,1145350,VAR
2016-12-19,91.13,91.64,90.95,91.11,569351,VAR
