date,open,high,low,close,volume,Name
2018-01-08,152.27,154.01,151.655,153.71,423207,ANSS
2018-01-09,153.39,156.14,153.39,155.14,436802,ANSS
2018-01-10,154.4,154.465,151.6,152.11,617860,ANSS
2018-01-11,152.76,153.885,151.93,152.21,438414,ANSS
2018-01-12,152.06,154.45,151.7,154.22,479520,ANSS
2018-01-16,154.86,155.67,152.44,153.39,459114,ANSS
2018-01-17,154.71,156.31,152.96,155.75,528702,ANSS
2018-01-18,155.97,158.73,155.97,158.34,459697,ANSS
2018-01-19,159.09,161.95,158.32,161.54,512282,ANSS
2018-01-22,161.53,163.18,160.6,163.13,566051,ANSS
2018-01-23,163.22,163.22,161.63,161.85,361765,ANSS
2018-01-24,162.01,162.96,161.1332,161.54,480815,ANSS
2018-01-25,162.56,163.07,159.67,159.93,390973,ANSS
2018-01-26,160.98,164.14,160.34,163.96,456805,ANSS
2018-01-29,163.55,164.9,162.4,162.75,322748,ANSS
2018-01-30,163.75,164.21,160.36,161.68,692747,ANSS
2018-01-31,162.34,164.52,161.06,161.65,831863,ANSS
2018-02-01,160.97,163.71,160.825,163.4,641201,ANSS
2018-02-02,162.29,163.4,160.22,160.29,379979,ANSS
2018-02-05,160.11,161.64,156.0,156.02,618978,ANSS
2018-02-06,152.84,157.65,151.79,157.1,589594,ANSS
2018-02-07,156.23,157.95,154.58,155.03,444206,ANSS
2013-02-08,65.98,66.62,65.38,66.28,1530485,ANTM
2013-02-11,66.06,66.19,65.4,66.01,894179,ANTM
2013-02-12,66.0,66.25,65.43,66.01,1114826,ANTM
2013-02-13,64.14,64.84,62.85,63.0,5755786,ANTM
2013-02-14,63.07,64.02,62.63,63.29,2622120,ANTM
2013-02-15,63.18,63.81,62.57,62.7,2931939,ANTM
2013-02-19,60.72,62.7999,60.41,62.77,3449653,ANTM
2013-02-20,62.8,63.0,62.34,62.58,2462416,ANTM
2013-02-21,62.6,63.16,62.095,62.71,2014695,ANTM
2013-02-22,62.81,63.2,61.68,61.92,1973655,ANTM
2013-02-25,62.17,62.84,61.46,61.46,2361941,ANTM
2013-02-26,61.62,61.98,61.2,61.83,2558246,ANTM
2013-02-27,61.76,62.575,61.52,62.46,1973030,ANTM
2013-02-28,62.42,62.76,61.78,62.18,3174105,ANTM
2013-03-01,61.98,62.47,61.56,61.88,3016390,ANTM
2013-03-04,61.73,62.01,61.52,61.82,1804196,ANTM
2013-03-05,61.97,62.56,61.65,62.27,2047157,ANTM
2013-03-06,62.02,62.57,61.76,62.52,1757473,ANTM
2013-03-07,62.6,63.005,62.57,62.7,1352043,ANTM
2013-03-08,62.88,63.46,62.47,63.03,1369723,ANTM
2013-03-11,63.04,63.68,62.6,63.49,1110007,ANTM
2013-03-12,63.47,64.21,63.35,64.14,1462571,ANTM
2013-03-13,64.14,65.15,63.98,64.84,1751442,ANTM
2013-03-14,64.99,65.28,64.505,65.18,1364781,ANTM
2013-03-15,64.84,65.44,64.6,64.98,2706136,ANTM
2013-03-18,64.54,64.84,64.19,64.55,1523029,ANTM
2013-03-19,64.69,64.9,64.14,64.31,1688083,ANTM
2013-03-20,64.64,64.88,63.91,64.02,1567008,ANTM
2013-03-21,63.65,64.23,63.42,63.63,1819697,ANTM
2013-03-22,63.86,64.04,63.31,64.03,1114854,ANTM
2013-03-25,64.12,64.39,63.8,64.11,1213184,ANTM
2013-03-26,64.37,65.18,64.35,64.76,1214346,ANTM
2013-03-27,64.63,65.61,64.42,65.61,1972525,ANTM
2013-03-28,65.71,66.33,65.4,66.23,2121481,ANTM
2013-04-01,66.29,67.7,65.8167,67.44,2971516,ANTM
2013-04-02,69.25,70.58,68.24,68.46,4167494,ANTM
2013-04-03,68.35,69.34,68.12,68.15,2112283,ANTM
2013-04-04,68.15,69.25,67.94,68.49,1915171,ANTM
2013-04-05,68.2,68.39,67.51,67.99,2392687,ANTM
