date,open,high,low,close,volume,Name
2018-01-30,130.37,130.74,128.1,128.11,4124859,UPS
2018-01-31,128.5,128.97,126.25,127.32,5788268,UPS
2018-02-01,119.22,121.0,118.07,119.51,14405947,UPS
2018-02-02,118.985,119.14,115.52,116.47,9235616,UPS
2018-02-05,115.89,116.31,113.21,113.3,8119637,UPS
2018-02-06,112.62,115.89,109.68,112.71,11749078,UPS
2018-02-07,112.39,113.26,111.62,111.91,7219687,UPS
2013-02-08,52.52,53.44,52.45,53.09,1081905,URI
2013-02-11,53.09,53.84,52.86,53.32,1244021,URI
2013-02-12,54.0,55.04,53.77,54.3,2053598,URI
2013-02-13,54.5,55.73,54.37,55.49,2053175,URI
2013-02-14,55.21,56.1767,54.88,55.9,1486243,URI
2013-02-15,55.72,56.16,54.61,54.87,1970433,URI
2013-02-19,55.0,55.7,54.52,55.64,1225444,URI
2013-02-20,55.85,56.87,52.72,53.09,2928206,URI
2013-02-21,52.91,53.09,49.27,50.94,4257043,URI
2013-02-22,51.42,53.28,51.41,52.71,2339970,URI
2013-02-25,53.25,54.11,50.41,50.47,2910914,URI
2013-02-26,50.93,51.35,49.1,51.1,3562258,URI
2013-02-27,51.12,53.558,50.98,52.54,2041496,URI
2013-02-28,52.56,54.26,52.36,53.41,2009076,URI
2013-03-01,52.58,53.24,51.67,52.63,2064140,URI
2013-03-04,52.49,52.49,50.9,52.05,2662723,URI
2013-03-05,54.88,55.99,54.25,54.94,4594954,URI
2013-03-06,55.1,55.489,54.1338,54.26,1682329,URI
2013-03-07,54.41,54.56,53.41,53.78,1435500,URI
2013-03-08,54.43,54.9899,53.61,54.8,1452373,URI
2013-03-11,54.08,54.6485,53.66,54.31,1428008,URI
2013-03-12,54.31,54.467,53.18,53.53,1878740,URI
2013-03-13,53.69,54.9,53.42,54.64,1569172,URI
2013-03-14,54.95,55.28,53.77,54.24,1413688,URI
2013-03-15,53.98,54.08,52.57,52.69,2393717,URI
2013-03-18,52.05,53.59,51.26,52.99,1747107,URI
2013-03-19,53.46,54.46,52.48,53.42,1438883,URI
2013-03-20,54.07,55.62,53.84,55.23,1805819,URI
2013-03-21,54.69,55.83,53.19,54.18,1406868,URI
2013-03-22,54.55,54.92,53.2,53.83,1087819,URI
2013-03-25,54.04,54.89,52.52,53.02,1418851,URI
2013-03-26,53.38,53.51,52.426,52.98,1120875,URI
2013-03-27,52.24,53.83,51.7,53.51,2490743,URI
2013-03-28,53.49,55.08,53.49,54.97,1527723,URI
2013-04-01,54.61,54.94,51.87,53.16,1928699,URI
2013-04-02,54.03,55.18,52.25,52.62,1954175,URI
2013-04-03,52.7,53.24,49.9,51.24,2993157,URI
2013-04-04,51.25,51.48,50.21,50.88,2176834,URI
2013-04-05,49.84,51.97,48.47,51.85,2490722,URI
2013-04-08,52.03,53.7,52.03,53.34,1780037,URI
2013-04-09,53.7,53.99,53.095,53.21,1245133,URI
2013-04-10,53.52,54.82,53.15,54.45,1891304,URI
2013-04-11,54.47,57.24,54.38,55.21,3222070,URI
2013-04-12,54.79,55.6399,53.691,54.98,1538908,URI
2013-04-15,54.7,54.75,50.03,50.89,5262373,URI
2013-04-16,51.79,52.64,51.0,52.21,3520404,URI
2013-04-17,50.9,52.78,50.34,51.46,4523646,URI
2013-04-18,51.56,51.6,49.67,50.69,2282426,URI
2013-04-19,50.96,52.1,50.1,51.69,1539743,URI
2013-04-22,51.92,51.93,50.26,51.55,1865319,URI
2013-04-23,52.1,52.26,50.0901,50.7,1977806,URI
2013-04-24,50.89,51.05,49.69,50.6,2448659,URI
2013-04-25,50.86,52.25,50.17,52.01,2077579,URI
2013-04-26,51.69,52.48,51.41,52.37,1136024,URI
