date,open,high,low,close,volume,Name
2016-12-20,155.0,157.33,154.525,156.08,423365,LLL
2016-12-21,155.92,156.21,154.0,154.01,378826,LLL
2016-12-22,154.29,154.29,152.4,153.8,427677,LLL
2016-12-23,153.48,154.28,152.57,153.15,256671,LLL
2016-12-27,153.78,153.8014,151.935,153.14,261641,LLL
2016-12-28,153.18,153.22,151.4,151.71,347181,LLL
2016-12-29,152.03,153.19,151.96,152.97,259636,LLL
2016-12-30,152.97,153.02,151.67,152.11,317327,LLL
2017-01-03,153.04,154.22,151.71,152.29,414695,LLL
2017-01-04,152.0,153.37,151.21,152.23,611374,LLL
2017-01-05,151.44,153.7,151.12,152.33,414805,LLL
2017-01-06,152.15,154.43,150.66,154.11,529266,LLL
2017-01-09,154.15,154.15,152.48,152.87,363685,LLL
2017-01-10,152.86,153.1,150.76,150.96,511872,LLL
2017-01-11,151.03,151.03,146.875,147.5,883485,LLL
2017-01-12,146.35,149.36,143.54,145.71,624322,LLL
2017-01-13,145.91,149.33,145.54,148.89,646830,LLL
2017-01-17,147.67,148.84,147.13,148.6,530567,LLL
2017-01-18,148.14,149.68,146.88,148.49,566486,LLL
2017-01-19,149.03,152.07,149.03,151.91,650528,LLL
2017-01-20,152.61,152.61,150.34,151.41,515588,LLL
2017-01-23,151.41,151.41,148.76,149.69,455398,LLL
2017-01-24,149.08,150.37,147.82,149.6,730024,LLL
2017-01-25,150.51,151.09,149.55,150.85,1084821,LLL
2017-01-26,154.04,159.52,153.2,155.65,1734251,LLL
2017-01-27,155.99,159.74,155.56,158.41,875210,LLL
2017-01-30,158.29,158.29,156.03,157.13,543544,LLL
2017-01-31,157.02,158.74,154.54,158.69,870246,LLL
2017-02-01,158.85,159.21,157.07,157.61,684962,LLL
2017-02-02,157.48,157.84,156.25,157.3,510673,LLL
2017-02-03,158.38,160.63,157.14,160.12,700566,LLL
2017-02-06,159.58,161.58,159.06,161.01,733418,LLL
2017-02-07,161.59,161.889,160.1243,160.75,681524,LLL
2017-02-08,160.65,161.43,159.95,160.19,433503,LLL
2017-02-09,160.25,161.68,160.25,161.5,334185,LLL
2017-02-10,161.64,163.46,161.25,163.11,433656,LLL
2017-02-13,164.2,165.86,163.01,165.47,443753,LLL
2017-02-14,165.93,166.87,165.32,165.73,819689,LLL
2017-02-15,166.69,168.3,165.99,168.15,584244,LLL
2017-02-16,168.19,168.52,166.15,168.49,433096,LLL
2017-02-17,168.22,168.72,167.05,168.23,841312,LLL
2017-02-21,167.49,169.41,167.26,168.8,394953,LLL
2017-02-22,168.85,169.2,167.63,169.03,437451,LLL
2017-02-23,169.11,169.11,166.11,166.45,480775,LLL
2017-02-24,165.81,167.14,165.05,167.14,404954,LLL
2017-02-27,166.93,169.29,165.45,168.9,385448,LLL
2017-02-28,168.9,169.14,167.7,168.32,472840,LLL
2017-03-01,169.43,171.14,169.1454,170.81,507592,LLL
2017-03-02,171.24,171.24,167.6,167.62,505062,LLL
2017-03-03,167.58,168.7,167.3101,167.55,333178,LLL
2017-03-06,167.09,168.86,166.8009,168.35,529800,LLL
2017-03-07,168.12,169.58,168.12,169.07,535712,LLL
2017-03-08,169.3,169.71,167.21,167.55,486588,LLL
2017-03-09,167.75,169.89,167.75,169.81,582781,LLL
2017-03-10,170.44,170.94,169.51,170.32,545326,LLL
2017-03-13,170.32,170.55,169.35,170.27,263013,LLL
2017-03-14,169.27,170.41,168.56,170.35,252155,LLL
2017-03-15,170.49,171.02,169.97,170.37,391655,LLL
2017-03-16,170.49,170.88,167.4,167.87,351905,LLL
2017-03-17,168.46,170.43,168.16,169.46,706435,LLL
2017-03-20,169.58,170.04,167.67,168.0,772460,LLL
