date,open,high,low,close,volume,Name
2017-03-30,39.97,40.45,39.64,40.43,2867005,KSS
2017-03-31,40.46,40.97,39.8,39.81,3946302,KSS
2017-04-03,39.82,40.13,38.67,39.15,4082516,KSS
2017-04-04,38.59,38.74,37.44,37.69,5292893,KSS
2017-04-05,37.89,38.48,37.47,37.51,3519199,KSS
2017-04-06,37.97,40.29,37.75,39.59,8272624,KSS
2017-04-07,39.43,39.69,39.02,39.2,3886412,KSS
2017-04-10,39.41,40.6125,39.33,39.83,3424264,KSS
2017-04-11,40.0,40.25,39.46,40.23,3107532,KSS
2017-04-12,40.21,40.5,39.66,40.15,4092753,KSS
2017-04-13,40.24,40.3,39.16,39.45,2905792,KSS
2017-04-17,39.53,39.58,38.32,38.91,4336320,KSS
2017-04-18,38.84,39.14,38.58,38.83,2767897,KSS
2017-04-19,39.12,39.91,38.92,39.18,3736978,KSS
2017-04-20,39.72,41.09,39.64,40.76,4866839,KSS
2017-04-21,40.61,40.85,39.87,40.07,2804958,KSS
2017-04-24,40.47,40.66,39.46,39.71,4357712,KSS
2017-04-25,39.8,40.09,39.1343,39.38,3285249,KSS
2017-04-26,39.46,39.94,39.32,39.52,3855785,KSS
2017-04-27,39.63,40.22,39.28,39.88,3067255,KSS
2017-04-28,39.83,39.99,38.875,39.03,3749654,KSS
2017-05-01,39.06,39.06,38.01,38.01,3889704,KSS
2017-05-02,38.19,39.31,38.09,39.16,4261080,KSS
2017-05-03,39.16,40.11,39.0,39.92,4389170,KSS
2017-05-04,40.16,40.42,39.29,39.35,3414784,KSS
2017-05-05,39.59,40.26,39.58,40.12,3788262,KSS
2017-05-08,40.26,40.3,39.27,39.29,4084442,KSS
2017-05-09,39.26,40.4,39.05,39.82,4992841,KSS
2017-05-10,39.83,40.687,39.83,40.32,6831422,KSS
2017-05-11,41.49,42.13,37.11,37.16,19039445,KSS
2017-05-12,36.76,37.07,35.6,36.49,9140180,KSS
2017-05-15,36.6,37.4,36.55,36.97,5735615,KSS
2017-05-16,37.0,37.395,36.58,36.82,6267328,KSS
2017-05-17,37.19,37.37,36.49,37.09,5952999,KSS
2017-05-18,37.23,37.85,36.78,37.05,4235103,KSS
2017-05-19,37.26,37.53,36.32,37.44,3809598,KSS
2017-05-22,37.53,38.595,37.32,38.02,3997898,KSS
2017-05-23,38.11,38.4,37.79,37.79,4305286,KSS
2017-05-24,37.75,38.13,37.37,37.93,2441424,KSS
2017-05-25,38.02,39.15,37.94,38.87,5754874,KSS
2017-05-26,38.96,39.13,38.37,38.73,1982949,KSS
2017-05-30,38.65,39.13,38.611,38.79,3295734,KSS
2017-05-31,38.85,38.8689,37.82,38.43,4764504,KSS
2017-06-01,38.43,39.62,38.3887,39.43,4343134,KSS
2017-06-02,39.49,40.11,38.94,38.98,4378436,KSS
2017-06-05,38.33,38.54,37.09,37.92,5084362,KSS
2017-06-06,37.69,37.69,35.16,35.73,11125897,KSS
2017-06-07,35.83,36.3,35.54,36.15,4961325,KSS
2017-06-08,37.71,37.95,35.29,35.32,8397888,KSS
2017-06-09,35.41,37.97,35.27,37.87,7615518,KSS
2017-06-12,37.96,39.79,37.79,38.1,7935889,KSS
2017-06-13,38.09,38.73,37.61,38.04,3394469,KSS
2017-06-14,38.0,38.02,36.89,37.66,4527847,KSS
2017-06-15,37.48,37.97,36.92,37.28,3470864,KSS
2017-06-16,36.87,37.38,36.39,37.38,4535200,KSS
2017-06-19,37.55,37.66,36.46,37.53,5628180,KSS
2017-06-20,37.59,37.59,36.0,36.03,4506847,KSS
2017-06-21,35.75,36.01,35.33,35.56,4214592,KSS
2017-06-22,35.62,36.57,35.33,36.3,2244900,KSS
2017-06-23,36.34,37.04,35.97,37.03,3706025,KSS
2017-06-26,37.03,37.55,36.84,37.52,3269645,KSS
