date,open,high,low,close,volume,Name
2016-01-22,293.7,298.55,291.36,297.05,1268777,EQIX
2016-01-25,296.26,306.31,295.78,299.93,1369679,EQIX
2016-01-26,304.18,305.99,299.875,303.64,1045178,EQIX
2016-01-27,304.24,307.96,297.02,299.57,1089627,EQIX
2016-01-28,301.25,309.96,295.51,300.22,1032436,EQIX
2016-01-29,301.33,310.83,300.01,310.57,1145292,EQIX
2016-02-01,310.05,315.81,308.88,311.44,812171,EQIX
2016-02-02,307.93,313.87,307.26,312.59,1013484,EQIX
2016-02-03,313.5,314.875,304.34,309.54,1268060,EQIX
2016-02-04,312.17,314.08,305.36,308.45,1032945,EQIX
2016-02-05,306.91,307.34,288.11,288.44,1390322,EQIX
2016-02-08,285.88,286.0,261.81,268.84,1850272,EQIX
2016-02-09,268.69,269.99,255.45,265.05,2096993,EQIX
2016-02-10,268.05,278.28,266.29,273.34,1498106,EQIX
2016-02-11,265.4,279.29,265.4,275.05,978637,EQIX
2016-02-12,279.54,285.17,276.56,284.88,1081554,EQIX
2016-02-16,285.82,291.6789,284.44,291.3,1304615,EQIX
2016-02-17,291.3,296.43,285.95,290.65,1320140,EQIX
2016-02-18,288.02,293.67,286.95,290.31,1178341,EQIX
2016-02-19,287.9,304.13,284.76,299.37,2164379,EQIX
2016-02-22,302.17,304.83,298.17,299.83,941409,EQIX
2016-02-23,298.85,299.9,290.62,292.06,969912,EQIX
2016-02-24,290.59,296.61,287.69,295.01,1078448,EQIX
2016-02-25,296.23,307.62,296.23,307.49,999768,EQIX
2016-02-26,306.49,315.06,303.66,306.77,897731,EQIX
2016-02-29,305.31,308.77,302.9501,303.69,1017152,EQIX
2016-03-01,306.24,308.57,303.02,308.4,1334962,EQIX
2016-03-02,307.71,308.0,299.3,304.01,1016256,EQIX
2016-03-03,302.78,310.81,301.7,310.59,1113135,EQIX
2016-03-04,310.59,311.44,303.5,309.72,1009112,EQIX
2016-03-07,305.89,308.02,294.05,297.73,1080213,EQIX
2016-03-08,295.84,303.72,295.3701,298.75,872489,EQIX
2016-03-09,299.92,303.7,299.29,301.26,675148,EQIX
2016-03-10,303.46,307.595,301.3,306.71,811407,EQIX
2016-03-11,310.0,319.36,308.66,318.0,983607,EQIX
2016-03-14,313.77,315.67,309.37,314.02,836849,EQIX
2016-03-15,311.26,315.61,311.26,312.47,850764,EQIX
2016-03-16,310.28,318.32,310.28,316.76,671316,EQIX
2016-03-17,316.59,321.45,315.07,316.98,1008878,EQIX
2016-03-18,317.5,318.29,314.2,315.76,1049166,EQIX
2016-03-21,314.76,319.0,311.95,317.39,619912,EQIX
2016-03-22,315.65,320.445,315.31,319.04,529078,EQIX
2016-03-23,319.31,320.49,317.72,319.36,456945,EQIX
2016-03-24,317.96,323.0,317.8,320.75,548031,EQIX
2016-03-28,321.7,324.97,320.69,323.77,389662,EQIX
2016-03-29,322.77,329.41,322.77,329.34,515300,EQIX
2016-03-30,330.29,331.67,327.79,328.11,534659,EQIX
2016-03-31,327.54,331.8,326.96,330.71,819299,EQIX
2016-04-01,328.31,332.2,327.7101,329.94,499880,EQIX
2016-04-04,331.95,334.18,330.34,333.11,515202,EQIX
2016-04-05,330.0,333.21,328.24,328.64,427935,EQIX
2016-04-06,328.01,329.695,326.158,327.41,735872,EQIX
2016-04-07,325.6,326.95,323.12,325.81,573568,EQIX
2016-04-08,328.72,329.72,322.92,325.99,554756,EQIX
2016-04-11,327.96,328.0,323.46,323.99,609213,EQIX
2016-04-12,326.2,326.2,321.21,322.13,663013,EQIX
2016-04-13,322.4,322.4,318.41,321.55,519969,EQIX
2016-04-14,320.78,322.19,318.6,320.75,357191,EQIX
2016-04-15,320.5,325.32,319.64,324.1,480384,EQIX
2016-04-18,323.01,326.01,322.23,325.59,303694,EQIX
2016-04-19,327.21,327.88,321.68,324.86,318692,EQIX
