date,open,high,low,close,volume,Name
2013-02-28,38.71,39.2,38.61,38.94,4410853,PLD
2013-03-01,38.76,39.38,38.57,39.29,2603001,PLD
2013-03-04,39.29,39.81,39.12,39.81,2263877,PLD
2013-03-05,39.89,40.08,39.68,40.03,2119708,PLD
2013-03-06,40.1,40.18,39.66,39.85,1284256,PLD
2013-03-07,39.82,39.99,39.36,39.45,2196280,PLD
2013-03-08,39.35,39.53,38.97,39.21,2842893,PLD
2013-03-11,39.41,39.44,38.95,39.12,2394005,PLD
2013-03-12,39.12,39.15,38.635,38.81,2347336,PLD
2013-03-13,39.2,39.55,38.88,39.02,3899218,PLD
2013-03-14,39.01,39.235,38.91,38.92,3445613,PLD
2013-03-15,38.77,39.11,38.67,38.79,6415569,PLD
2013-03-18,38.39,38.645,38.31,38.55,4162548,PLD
2013-03-19,38.56,38.77,37.99,38.32,2886874,PLD
2013-03-20,38.62,38.775,38.42,38.73,2287094,PLD
2013-03-21,38.43,38.79,38.43,38.52,2294220,PLD
2013-03-22,38.57,39.02,38.4,38.89,2507688,PLD
2013-03-25,38.98,39.295,38.82,39.0,2670397,PLD
2013-03-26,39.21,40.16,39.15,40.14,3486982,PLD
2013-03-27,39.84,39.91,39.52,39.86,1862112,PLD
2013-03-28,39.8,40.04,39.61,39.98,1840439,PLD
2013-04-01,39.88,40.01,39.58,39.92,1518744,PLD
2013-04-02,40.08,40.35,39.945,40.14,1672004,PLD
2013-04-03,40.3,40.3,39.6,39.64,1958938,PLD
2013-04-04,39.68,40.03,39.51,39.66,4144482,PLD
2013-04-05,39.06,39.435,38.85,39.35,3516464,PLD
2013-04-08,39.32,40.07,39.21,40.05,2295142,PLD
2013-04-09,40.0,40.06,39.58,39.85,2267346,PLD
2013-04-10,39.91,40.59,39.87,40.26,1868117,PLD
2013-04-11,40.35,41.19,40.18,41.14,3226464,PLD
2013-04-12,41.09,41.25,41.0,41.11,2871515,PLD
2013-04-15,40.84,41.3,40.525,40.58,3524878,PLD
2013-04-16,41.05,41.45,40.42,41.41,2750755,PLD
2013-04-17,40.97,41.1099,40.42,41.01,3990284,PLD
2013-04-18,41.0,41.086,40.26,40.62,2164683,PLD
2013-04-19,40.71,41.68,40.64,41.59,3274888,PLD
2013-04-22,41.55,41.7,41.17,41.51,2115334,PLD
2013-04-23,41.6,42.12,41.42,41.94,2582964,PLD
2013-04-24,41.87,43.21,41.87,42.68,3868831,PLD
2013-04-25,41.6,41.7,41.45,41.45,28067438,PLD
2013-04-26,41.61,41.68,41.5,41.6,6023513,PLD
2013-04-29,41.7,41.73,41.6,41.72,3908468,PLD
2013-04-30,41.65,41.97,41.51,41.95,3496677,PLD
2013-05-01,41.98,42.1,41.65,41.91,3916075,PLD
2013-05-02,42.06,42.41,41.89,42.38,2791114,PLD
2013-05-03,42.75,42.88,42.41,42.74,5086961,PLD
2013-05-06,42.68,42.86,42.5,42.86,2614033,PLD
2013-05-07,43.09,43.27,42.73,42.98,2437787,PLD
2013-05-08,42.92,43.13,42.89,43.11,2099351,PLD
2013-05-09,43.08,43.15,42.83,42.91,2174417,PLD
2013-05-10,43.05,43.33,42.9,43.32,1955933,PLD
2013-05-13,43.33,43.52,43.14,43.24,2520390,PLD
2013-05-14,43.33,43.5,43.14,43.37,2308313,PLD
2013-05-15,43.34,43.87,43.12,43.84,3237285,PLD
2013-05-16,43.67,44.0,43.6201,43.87,2655955,PLD
2013-05-17,43.92,44.05,43.59,43.87,3489601,PLD
2013-05-20,43.75,44.18,43.67,44.18,2047021,PLD
2013-05-21,44.32,44.785,44.17,44.77,2662367,PLD
2013-05-22,44.75,45.52,43.2,43.5,4073829,PLD
2013-05-23,43.04,43.04,42.0,42.38,3606141,PLD
2013-05-24,42.17,42.56,41.65,42.45,1895458,PLD
