date,open,high,low,close,volume,Name
2013-03-05,57.97,58.395,57.38,58.11,5779746,ESRX
2013-03-06,58.32,58.74,57.975,58.17,3588259,ESRX
2013-03-07,58.5,59.36,58.18,58.69,6218792,ESRX
2013-03-08,58.97,59.05,58.15,58.81,3729415,ESRX
2013-03-11,58.68,59.61,58.5,59.35,4602146,ESRX
2013-03-12,59.094,59.59,58.99,59.42,3943192,ESRX
2013-03-13,59.6,59.84,59.45,59.54,5496834,ESRX
2013-03-14,59.68,59.84,58.09,58.59,10315978,ESRX
2013-03-15,58.68,60.08,58.65,59.77,10869953,ESRX
2013-03-18,59.31,59.76,58.96,59.19,5032996,ESRX
2013-03-19,59.13,59.5,58.52,59.18,4538221,ESRX
2013-03-20,59.6,59.87,59.02,59.19,4093866,ESRX
2013-03-21,58.79,59.35,58.25,58.34,4083740,ESRX
2013-03-22,58.54,58.89,57.76,57.93,3984059,ESRX
2013-03-25,58.07,58.48,57.41,57.74,4037549,ESRX
2013-03-26,57.98,58.515,57.98,58.41,3403578,ESRX
2013-03-27,58.31,58.33,57.4,58.06,3048881,ESRX
2013-03-28,58.0,58.15,57.55,57.62,4779544,ESRX
2013-04-01,57.55,57.98,57.35,57.8,4238418,ESRX
2013-04-02,58.18,58.565,57.72,58.46,5533893,ESRX
2013-04-03,58.38,58.75,57.45,57.61,5360612,ESRX
2013-04-04,57.64,58.27,56.72,57.44,4028455,ESRX
2013-04-05,56.6,57.08,56.075,57.0,4642627,ESRX
2013-04-08,56.99,57.27,56.48,57.27,3867611,ESRX
2013-04-09,57.5,57.65,57.06,57.34,2641459,ESRX
2013-04-10,57.63,58.48,57.42,58.11,4489681,ESRX
2013-04-11,58.07,58.39,57.56,57.6,3637573,ESRX
2013-04-12,57.62,57.7,56.07,56.3,8195687,ESRX
2013-04-15,55.96,56.48,55.19,55.26,4461745,ESRX
2013-04-16,55.4,56.25,54.57,56.19,7967791,ESRX
2013-04-17,55.84,55.95,55.0198,55.6,4431910,ESRX
2013-04-18,55.63,55.75,54.9,55.63,4396022,ESRX
2013-04-19,55.14,56.0,55.08,55.35,5755907,ESRX
2013-04-22,55.49,55.89,54.99,55.43,2692716,ESRX
2013-04-23,55.74,56.56,55.23,56.45,6275438,ESRX
2013-04-24,56.56,56.89,56.42,56.68,3546239,ESRX
2013-04-25,56.78,58.11,56.68,58.0,5603025,ESRX
2013-04-26,57.97,58.06,57.445,57.91,4642128,ESRX
2013-04-29,57.91,59.0,57.74,58.44,7689667,ESRX
2013-04-30,60.0,60.05,58.25,59.37,11505246,ESRX
2013-05-01,59.23,59.91,59.02,59.63,5317475,ESRX
2013-05-02,59.98,61.1,59.54,61.0,7767213,ESRX
2013-05-03,61.21,61.92,61.12,61.56,6064126,ESRX
2013-05-06,61.39,61.55,60.3701,60.4,4855152,ESRX
2013-05-07,60.33,61.27,60.33,61.12,3930217,ESRX
2013-05-08,61.14,61.6846,60.88,61.32,4334920,ESRX
2013-05-09,61.34,62.04,61.07,61.58,5359904,ESRX
2013-05-10,61.6,61.7,61.29,61.4,4852986,ESRX
2013-05-13,61.66,62.14,61.4,61.94,4369719,ESRX
2013-05-14,61.77,61.92,60.86,60.93,5561554,ESRX
2013-05-15,61.0,61.407,60.84,61.38,4459951,ESRX
2013-05-16,61.14,61.3325,60.285,60.7,5949034,ESRX
2013-05-17,61.0,61.91,60.89,61.87,5161801,ESRX
2013-05-20,61.59,61.673,61.2,61.33,3222945,ESRX
2013-05-21,61.37,61.6999,61.16,61.31,3969959,ESRX
2013-05-22,61.47,63.38,61.1,62.49,8216056,ESRX
2013-05-23,61.94,63.185,61.71,62.88,5954999,ESRX
2013-05-24,62.34,63.2,62.0,62.68,4836841,ESRX
2013-05-28,63.74,64.08,63.41,63.6,5354054,ESRX
2013-05-29,63.4,63.42,62.66,63.01,4527232,ESRX
2013-05-30,62.87,63.75,62.84,63.6,3499564,ESRX
