date,open,high,low,close,volume,Name
2016-12-13,1545.19,1560.0,1538.26,1540.11,387983,PCLN
2016-12-14,1542.74,1549.13,1525.72,1528.45,307587,PCLN
2016-12-15,1520.0,1523.0,1500.57,1501.2,584618,PCLN
2016-12-16,1507.5,1507.97,1473.13,1484.28,714549,PCLN
2016-12-19,1484.27,1501.47,1477.99,1488.83,390571,PCLN
2016-12-20,1488.06,1503.96,1483.98,1502.25,306567,PCLN
2016-12-21,1498.11,1512.71,1495.0,1505.76,291489,PCLN
2016-12-22,1501.4,1503.18,1475.42,1481.34,406420,PCLN
2016-12-23,1477.54,1490.08,1470.34,1486.2,275867,PCLN
2016-12-27,1490.01,1503.39,1486.43,1493.42,193927,PCLN
2016-12-28,1494.73,1496.05,1476.48,1480.46,248715,PCLN
2016-12-29,1477.21,1487.43,1473.35,1480.16,200861,PCLN
2016-12-30,1483.49,1483.49,1462.34,1466.06,407379,PCLN
2017-01-03,1476.91,1487.36,1459.49,1477.57,458853,PCLN
2017-01-04,1484.64,1493.65,1480.75,1487.29,388519,PCLN
2017-01-05,1489.89,1504.94,1489.89,1503.7,447540,PCLN
2017-01-06,1501.54,1526.47,1501.21,1520.57,473400,PCLN
2017-01-09,1518.0,1538.77,1518.0,1529.64,397497,PCLN
2017-01-10,1534.96,1544.56,1529.5,1535.25,325352,PCLN
2017-01-11,1532.21,1546.67,1527.02,1536.11,405273,PCLN
2017-01-12,1531.56,1539.93,1516.0,1538.59,314981,PCLN
2017-01-13,1535.75,1548.94,1531.26,1545.82,327038,PCLN
2017-01-17,1544.0,1546.99,1534.01,1540.13,330472,PCLN
2017-01-18,1545.22,1547.25,1529.21,1541.86,246014,PCLN
2017-01-19,1541.4,1549.0,1532.72,1539.02,279178,PCLN
2017-01-20,1547.56,1547.56,1528.01,1545.01,596473,PCLN
2017-01-23,1541.47,1555.73,1534.63,1554.99,430332,PCLN
2017-01-24,1558.38,1566.06,1552.13,1563.33,360258,PCLN
2017-01-25,1569.0,1581.47,1565.26,1578.82,308820,PCLN
2017-01-26,1576.56,1587.51,1575.45,1581.44,294924,PCLN
2017-01-27,1581.0,1605.47,1577.67,1602.92,428544,PCLN
2017-01-30,1598.65,1603.58,1571.0,1602.31,469914,PCLN
2017-01-31,1599.0,1599.41,1569.03,1575.13,517992,PCLN
2017-02-01,1584.09,1586.59,1562.86,1575.31,330688,PCLN
2017-02-02,1570.03,1585.45,1567.0,1574.09,444754,PCLN
2017-02-03,1576.49,1587.99,1572.81,1583.38,318032,PCLN
2017-02-06,1581.34,1588.87,1571.32,1587.18,210247,PCLN
2017-02-07,1590.0,1598.93,1588.0,1598.7,295491,PCLN
2017-02-08,1595.18,1604.3,1589.0,1601.19,373637,PCLN
2017-02-09,1602.84,1616.08,1598.05,1611.83,414258,PCLN
2017-02-10,1617.47,1649.65,1614.02,1646.51,843784,PCLN
2017-02-13,1652.0,1652.0,1640.0,1646.18,414147,PCLN
2017-02-14,1646.18,1646.31,1630.34,1637.29,391013,PCLN
2017-02-15,1631.3,1651.27,1628.0,1648.96,281001,PCLN
2017-02-16,1647.45,1658.97,1642.5,1648.88,301723,PCLN
2017-02-17,1648.78,1648.78,1634.06,1637.4,413956,PCLN
2017-02-21,1642.98,1657.24,1637.42,1647.0,460327,PCLN
2017-02-22,1641.52,1653.46,1639.0,1651.74,278868,PCLN
2017-02-23,1661.9,1664.99,1633.4,1637.26,412834,PCLN
2017-02-24,1627.55,1640.68,1622.02,1631.62,562914,PCLN
2017-02-27,1631.19,1635.32,1612.41,1632.01,812957,PCLN
2017-02-28,1703.89,1748.39,1698.1,1724.13,1739807,PCLN
2017-03-01,1741.0,1742.02,1726.23,1733.18,623667,PCLN
2017-03-02,1737.52,1747.26,1730.8,1734.37,503317,PCLN
2017-03-03,1731.0,1742.0,1729.41,1735.1,292797,PCLN
2017-03-06,1730.0,1736.85,1727.0,1730.21,354605,PCLN
2017-03-07,1720.0,1737.62,1720.0,1736.46,282612,PCLN
2017-03-08,1735.2,1749.64,1731.67,1743.49,421157,PCLN
2017-03-09,1738.15,1756.32,1738.15,1749.42,419507,PCLN
2017-03-10,1757.14,1759.17,1750.81,1754.24,330910,PCLN
2017-03-13,1757.0,1772.49,1754.94,1767.12,327936,PCLN
