date,open,high,low,close,volume,Name
2015-08-13,116.04,116.4,114.54,115.15,48535789,AAPL
2015-08-14,114.32,116.31,114.01,115.96,42929516,AAPL
2015-08-17,116.04,117.65,115.5,117.16,40884745,AAPL
2015-08-18,116.43,117.44,116.01,116.5,34560708,AAPL
2015-08-19,116.1,116.52,114.68,115.01,48286510,AAPL
2015-08-20,114.08,114.35,111.63,112.65,68501622,AAPL
2015-08-21,110.43,111.9,105.645,105.76,128275471,AAPL
2015-08-24,94.87,108.8,92.0,103.12,162206292,AAPL
2015-08-25,111.11,111.11,103.5,103.74,103601599,AAPL
2015-08-26,107.085,109.89,105.05,109.69,96774611,AAPL
2015-08-27,112.25,113.24,110.02,112.92,84616056,AAPL
2015-08-28,112.17,113.31,111.54,113.29,53164407,AAPL
2015-08-31,112.13,114.53,112.0,112.76,56229271,AAPL
2015-09-01,110.18,111.88,107.36,107.72,76845860,AAPL
2015-09-02,110.0,112.34,109.131,112.34,61888812,AAPL
2015-09-03,112.49,112.78,110.04,110.37,53233940,AAPL
2015-09-04,108.97,110.45,108.51,109.27,49996311,AAPL
2015-09-08,111.65,112.56,110.32,112.31,54843626,AAPL
2015-09-09,113.76,114.02,109.77,110.15,85010804,AAPL
2015-09-10,110.27,113.2825,109.9,112.57,62892831,AAPL
2015-09-11,111.79,114.21,111.76,114.21,49915473,AAPL
2015-09-14,116.58,116.89,114.86,115.31,58363431,AAPL
2015-09-15,115.93,116.53,114.42,116.28,43341155,AAPL
2015-09-16,116.25,116.54,115.44,116.41,37173489,AAPL
2015-09-17,115.66,116.49,113.715,113.92,64112641,AAPL
2015-09-18,112.21,114.3,111.87,113.45,74285291,AAPL
2015-09-21,113.67,115.37,113.66,115.21,50221965,AAPL
2015-09-22,113.38,114.18,112.5201,113.4,50346159,AAPL
2015-09-23,113.63,114.72,113.3,114.32,35756716,AAPL
2015-09-24,113.25,115.5,112.37,115.0,50219475,AAPL
2015-09-25,116.44,116.69,114.02,114.71,56151926,AAPL
2015-09-28,113.85,114.57,112.44,112.44,52109011,AAPL
2015-09-29,112.83,113.51,107.86,109.06,73365384,AAPL
2015-09-30,110.17,111.54,108.73,110.3,66473033,AAPL
2015-10-01,109.07,109.62,107.31,109.58,63929100,AAPL
2015-10-02,108.01,111.0136,107.55,110.38,58019758,AAPL
2015-10-05,109.88,111.3698,109.07,110.78,52064743,AAPL
2015-10-06,110.63,111.74,109.765,111.31,48856977,AAPL
2015-10-07,111.74,111.77,109.41,110.78,46765550,AAPL
2015-10-08,110.19,110.19,108.21,109.5,61979577,AAPL
2015-10-09,110.0,112.28,109.49,112.12,52766140,AAPL
2015-10-12,112.73,112.75,111.44,111.6,30467204,AAPL
2015-10-13,110.82,112.45,110.68,111.79,33049256,AAPL
2015-10-14,111.29,111.52,109.56,110.21,44462449,AAPL
2015-10-15,110.93,112.1,110.49,111.86,37673452,AAPL
2015-10-16,111.78,112.0,110.53,111.04,39232609,AAPL
2015-10-19,110.8,111.75,110.11,111.73,29759153,AAPL
2015-10-20,111.34,114.17,110.82,113.77,48967763,AAPL
2015-10-21,114.0,115.58,113.7,113.76,42326974,AAPL
2015-10-22,114.33,115.5,114.1,115.5,41654089,AAPL
2015-10-23,116.7,119.228,116.33,119.08,59366914,AAPL
2015-10-26,118.08,118.13,114.92,115.28,66333781,AAPL
2015-10-27,115.4,116.54,113.99,114.55,69884400,AAPL
2015-10-28,116.93,119.3,116.06,119.27,85551352,AAPL
2015-10-29,118.7,120.69,118.27,120.53,51227334,AAPL
2015-10-30,120.99,121.22,119.45,119.5,49365254,AAPL
2015-11-02,119.87,121.36,119.61,121.18,32203267,AAPL
2015-11-03,120.79,123.49,120.7,122.57,45518976,AAPL
2015-11-04,123.13,123.82,121.62,122.0,44886050,AAPL
2015-11-05,121.85,122.69,120.18,120.92,39552680,AAPL
2015-11-06,121.11,121.81,120.62,121.06,33042283,AAPL
