date,open,high,low,close,volume,name
2014-03-26,77.08,77.525,76.23,76.23,7736520.0,WMT
2014-03-27,76.38,76.8199,76.04,76.14,5596634.0,WMT
2014-03-28,76.26,76.595,75.7701,76.01,5871101.0,WMT
2014-03-31,76.35,76.78,76.02,76.43,4695643.0,WMT
2014-04-01,76.76,77.25,76.54,76.77,5770037.0,WMT
2014-04-02,76.58,77.19,76.34,77.18,6078086.0,WMT
2014-04-03,77.2,77.55,77.0,77.46,6045985.0,WMT
2014-04-04,77.58,77.9,77.25,77.31,6769289.0,WMT
2014-04-07,77.23,77.715,77.0949,77.31,7680807.0,WMT
2014-04-08,77.09,78.31,76.8,78.18,7498660.0,WMT
2014-04-09,78.2,78.22,77.28,77.97,6877819.0,WMT
2014-04-10,77.95,78.14,76.65,76.89,7599640.0,WMT
2014-04-11,76.78,77.23,76.29,76.5,7978971.0,WMT
2014-04-14,76.94,77.55,76.79,77.38,5375940.0,WMT
2014-04-15,77.03,77.31,76.44,76.88,6929329.0,WMT
2014-04-16,77.31,77.465,77.03,77.22,5036770.0,WMT
2014-04-17,77.08,77.75,77.08,77.66,6964745.0,WMT
2014-04-21,77.41,77.73,77.18,77.6,4595096.0,WMT
2014-04-22,77.52,77.825,77.39,77.56,6465465.0,WMT
2014-04-23,77.82,78.2801,77.57,78.04,5806189.0,WMT
2014-04-24,78.17,78.47,77.7,78.31,4354918.0,WMT
2014-04-25,78.31,78.78,78.02,78.62,5396525.0,WMT
2014-04-28,78.86,79.985,78.83,79.76,9598676.0,WMT
2014-04-29,79.84,79.87,79.57,79.67,4695718.0,WMT
2014-04-30,79.59,79.93,79.51,79.71,6111791.0,WMT
2014-05-01,79.73,79.73,79.16,79.7,5098328.0,WMT
2014-05-02,79.6,79.76,79.01,79.12,5620034.0,WMT
2014-05-05,78.86,78.95,78.505,78.62,4590956.0,WMT
2014-05-06,78.33,78.39,77.965,78.01,5638910.0,WMT
2014-05-07,77.85,78.099,77.53,77.96,6086214.0,WMT
2014-05-08,78.0,78.83,78.0,78.69,4820639.0,WMT
2014-05-09,78.52,79.28,78.52,79.2,4896368.0,WMT
2014-05-12,78.95,79.23,78.65,79.15,5999823.0,WMT
2014-05-13,79.17,79.37,78.99,79.14,4363735.0,WMT
2014-05-14,79.05,79.05,78.07,78.74,5608286.0,WMT
2014-05-15,76.28,77.44,76.25,76.83,13035789.0,WMT
2014-05-16,77.0,77.38,76.65,77.01,7244131.0,WMT
2014-05-19,77.11,77.13,76.5,76.61,6131274.0,WMT
2014-05-20,76.36,76.37,75.52,75.69,7441355.0,WMT
2014-05-21,75.94,75.96,75.27,75.66,5704092.0,WMT
2014-05-22,75.79,75.921,75.24,75.39,5243663.0,WMT
2014-05-23,75.56,75.75,75.43,75.61,3703626.0,WMT
2014-05-27,75.71,75.81,75.29,75.59,5379301.0,WMT
2014-05-28,75.38,75.94,75.34,75.53,5036879.0,WMT
2014-05-29,75.67,76.19,75.57,75.98,4003511.0,WMT
2014-05-30,76.06,76.81,76.01,76.77,5974016.0,WMT
2014-06-02,76.58,77.11,76.47,76.76,4395340.0,WMT
2014-06-03,76.74,76.97,76.36,76.71,7213733.0,WMT
2014-06-04,76.6,77.3,76.53,77.13,6199894.0,WMT
2014-06-05,77.05,77.44,76.87,77.32,4695821.0,WMT
2014-06-06,77.46,77.59,77.07,77.21,4195073.0,WMT
2014-06-09,77.07,77.76,76.7,77.01,5552326.0,WMT
2014-06-10,76.81,76.94,76.5148,76.62,3365665.0,WMT
2014-06-11,76.55,76.74,76.05,76.16,4463301.0,WMT
2014-06-12,76.05,76.19,75.58,75.73,5336596.0,WMT
2014-06-13,75.67,75.76,75.12,75.28,4981452.0,WMT
2014-06-16,75.11,75.48,75.02,75.34,3846878.0,WMT
2014-06-17,75.29,75.42,74.915,74.99,6544215.0,WMT
2014-06-18,75.04,75.96,74.92,75.7,6740696.0,WMT
2014-06-19,75.88,76.28,75.8,75.87,5255313.0,WMT
2014-06-20,76.16,76.17,75.12,75.68,11335802.0,WMT
2014-06-23,75.56,75.94,75.3,75.79,4276034.0,WMT
2014-06-24,76.03,76.21,75.6849,75.97,5659196.0,WMT
2014-06-25,75.76,75.84,75.28,75.62,4318156.0,WMT
2014-06-26,75.52,75.61,74.7,74.91,6922337.0,WMT
2014-06-27,74.8,75.38,74.67,75.34,13960847.0,WMT
2014-06-30,75.395,75.69,74.94,75.07,6666648.0,WMT
2014-07-01,75.27,75.42,74.75,75.28,6604504.0,WMT
2014-07-02,75.26,75.9,75.25,75.62,4366772.0,WMT
2014-07-03,75.61,76.05,75.52,75.75,2873959.0,WMT
2014-07-07,75.69,76.21,75.55,76.07,5027994.0,WMT
2014-07-08,76.09,76.98,76.03,76.65,7960476.0,WMT
2014-07-09,76.77,77.33,76.62,77.21,6240126.0,WMT
2014-07-10,76.91,77.569,76.91,77.06,5372478.0,WMT
2014-07-11,76.87,76.97,76.56,76.82,4547543.0,WMT
2014-07-14,77.13,77.25,76.48,76.55,4822869.0,WMT
2014-07-15,76.56,76.93,76.56,76.84,4686766.0,WMT
2014-07-16,76.9,77.05,76.7,76.86,3743501.0,WMT
2014-07-17,76.58,77.05,76.44,76.61,4630252.0,WMT
2014-07-18,76.62,77.1,76.51,77.09,4913346.0,WMT
2014-07-21,76.76,76.91,76.48,76.77,3457586.0,WMT
2014-07-22,76.84,76.89,76.4,76.64,4383167.0,WMT
2014-07-23,76.63,77.06,76.59,76.99,3994349.0,WMT
2014-07-24,76.68,76.79,76.19,76.35,7228303.0,WMT
2014-07-25,76.19,76.36,75.8,75.97,3948442.0,WMT
2014-07-28,75.43,75.93,75.36,75.71,5509938.0,WMT
2014-07-29,75.21,76.01,75.15,75.44,6293487.0,WMT
2014-07-30,75.88,75.92,74.67,74.78,9985703.0,WMT
2014-07-31,73.99,74.25,73.54,73.58,9632692.0,WMT
2014-08-01,73.38,73.625,73.06,73.54,5402081.0,WMT
2014-08-04,73.38,73.625,73.06,73.54,5402181.0,WMT
2014-08-05,73.31,73.52,72.77,73.34,10580561.0,WMT
2014-08-06,73.19,74.29,73.18,74.2,7934785.0,WMT
2014-08-07,74.34,74.81,73.76,73.95,7053149.0,WMT
2014-08-08,74.06,74.73,73.85,74.67,4996347.0,WMT
2014-08-11,74.29,74.6,74.02,74.36,4721351.0,WMT
2014-08-12,74.31,74.44,74.01,74.22,3928584.0,WMT
2014-08-13,74.27,74.41,73.51,74.03,6579857.0,WMT
2014-08-14,73.89,74.43,73.61,74.39,6136444.0,WMT
2014-08-15,74.65,74.65,73.485,73.9,6942723.0,WMT
2014-08-18,74.15,74.68,74.05,74.49,4015717.0,WMT
2014-08-19,74.81,74.94,74.14,74.88,5047957.0,WMT
2014-08-20,74.83,75.05,74.51,74.96,4898266.0,WMT
2014-08-21,75.06,75.91,75.0,75.55,5260626.0,WMT
2014-08-22,75.78,76.2,75.64,75.73,4137761.0,WMT
2014-08-25,75.93,76.02,75.5063,75.69,3393630.0,WMT
2014-08-26,75.83,76.15,75.44,75.52,4222880.0,WMT
2014-08-27,75.51,75.86,75.44,75.85,3200426.0,WMT
2014-08-28,75.47,75.94,75.47,75.9,2928089.0,WMT
2014-08-29,75.75,75.88,75.29,75.5,5080513.0,WMT
2014-09-02,75.42,75.94,75.41,75.75,4532422.0,WMT
2014-09-03,75.95,76.33,75.88,76.01,4709373.0,WMT
2014-09-04,76.16,76.6,76.11,76.56,5282252.0,WMT
2014-09-05,76.52,77.73,76.48,77.51,7841819.0,WMT
2014-09-08,77.13,77.32,76.43,76.53,5946869.0,WMT
2014-09-09,76.56,77.0,76.17,76.74,5631979.0,WMT
2014-09-10,76.79,77.08,76.37,76.51,6697057.0,WMT
2014-09-11,76.35,76.44,76.09,76.1,4985299.0,WMT
2014-09-12,75.97,76.05,75.66,75.77,5693775.0,WMT
2014-09-15,75.78,75.89,75.61,75.81,3748478.0,WMT
2014-09-16,75.64,76.57,75.6,76.32,4109537.0,WMT
2014-09-17,76.36,76.47,76.01,76.24,4239265.0,WMT
2014-09-18,76.31,76.58,75.91,76.22,4751711.0,WMT
2014-09-19,76.45,77.07,76.38,76.84,13323532.0,WMT
2014-09-22,76.79,76.86,76.25,76.31,4450704.0,WMT
2014-09-23,76.0,76.225,75.57,75.6,6717115.0,WMT
2014-09-24,75.73,77.31,75.7,77.08,8434589.0,WMT
2014-09-25,76.93,77.05,76.12,76.12,4963485.0,WMT
2014-09-26,76.25,76.57,75.86,76.49,3752888.0,WMT
2014-09-29,76.06,76.25,75.65,76.08,4959285.0,WMT
2014-09-30,76.04,76.72,75.77,76.47,5640744.0,WMT
2014-10-01,76.51,76.86,75.91,76.12,6524863.0,WMT
2014-10-02,76.21,76.91,75.96,76.23,4929134.0,WMT
2014-10-03,76.57,77.48,76.53,77.32,5819678.0,WMT
2014-10-06,77.05,77.92,76.99,77.35,5429677.0,WMT
2014-10-07,77.03,77.695,76.72,77.3,7059857.0,WMT
2014-10-08,77.41,78.485,76.81,78.24,8107097.0,WMT
2014-10-09,78.11,78.83,77.66,77.86,7072744.0,WMT
2014-10-10,77.93,79.37,77.93,78.29,10078027.0,WMT
2014-10-13,78.03,78.585,77.45,77.56,8201401.0,WMT
2014-10-14,77.83,78.63,77.67,77.98,7901051.0,WMT
2014-10-15,77.58,77.69,74.36,75.2,21057683.0,WMT
2014-10-16,73.23,74.0694,72.61,73.82,14346643.0,WMT
2014-10-17,74.18,74.5,73.03,74.1,11472069.0,WMT
2014-10-20,74.14,75.22,73.92,75.14,7040685.0,WMT
2014-10-21,75.18,76.2,75.01,76.02,8299743.0,WMT
2014-10-22,76.47,76.66,76.01,76.03,5927620.0,WMT
2014-10-23,76.37,76.65,75.78,76.25,6367092.0,WMT
2014-10-24,76.13,76.5,75.5,76.38,4483654.0,WMT
2014-10-27,76.33,76.98,76.31,76.59,4107391.0,WMT
2014-10-28,76.63,76.8,76.0,76.35,4979984.0,WMT
2014-10-29,76.55,76.64,75.97,76.39,5763263.0,WMT
2014-10-30,76.17,76.6,75.98,76.45,4872414.0,WMT
2014-10-31,76.89,77.4,76.01,76.27,7570734.0,WMT
2014-11-03,76.35,76.38,75.59,76.28,6887875.0,WMT
2014-11-04,76.49,77.37,76.28,77.26,6904853.0,WMT
2014-11-05,77.87,78.23,77.3,77.7,5673772.0,WMT
2014-11-06,78.15,78.18,77.17,77.81,4621864.0,WMT
2014-11-07,77.84,79.08,77.61,78.77,9498782.0,WMT
2014-11-10,78.6,80.13,78.42,79.44,12640479.0,WMT
2014-11-11,79.4,79.42,78.85,79.01,5602406.0,WMT
2014-11-12,78.83,79.44,78.65,79.2,6791218.0,WMT
2014-11-13,80.96,83.06,80.86,82.94,22812356.0,WMT
2014-11-14,82.58,83.15,82.1,82.96,10636644.0,WMT
2014-11-17,82.58,83.72,82.53,83.57,7993427.0,WMT
2014-11-18,83.5,83.92,83.34,83.79,6096432.0,WMT
2014-11-19,83.96,85.64,83.92,84.99,12189846.0,WMT
2014-11-20,84.81,85.29,84.04,84.58,7812733.0,WMT
2014-11-21,85.34,85.44,84.58,84.65,6649630.0,WMT
2014-11-24,84.85,85.61,84.77,85.4,7995454.0,WMT
2014-11-25,85.5,85.51,84.39,84.95,6675451.0,WMT
2014-11-26,84.9,85.111,84.48,84.98,3943821.0,WMT
2014-11-28,86.18,88.09,85.9,87.54,7820627.0,WMT
2014-12-01,86.72,87.07,85.7499,86.22,9140937.0,WMT
2014-12-02,86.27,86.7,85.93,86.4,6766310.0,WMT
2014-12-03,85.95,86.0,84.68,84.94,6374338.0,WMT
2014-12-04,84.13,84.82,83.65,84.76,6922353.0,WMT
2014-12-05,84.81,84.82,83.51,84.12,6570121.0,WMT
2014-12-08,84.15,84.67,83.85,84.23,6265990.0,WMT
2014-12-09,83.65,84.21,82.65,83.56,6633610.0,WMT
2014-12-10,83.93,84.31,82.9,82.98,6973600.0,WMT
2014-12-11,83.2,84.495,83.16,83.83,8032841.0,WMT
2014-12-12,83.52,85.0,83.52,83.81,7284128.0,WMT
2014-12-15,84.26,84.7,83.05,83.94,6317736.0,WMT
2014-12-16,83.62,84.76,82.94,82.96,7437440.0,WMT
2014-12-17,83.28,84.26,82.95,84.23,6641024.0,WMT
2014-12-18,84.8,85.95,84.28,85.94,8645929.0,WMT
2014-12-19,86.26,86.34,85.16,85.16,12068826.0,WMT
2014-12-22,85.32,86.4,85.29,86.38,4575752.0,WMT
2014-12-23,86.69,87.08,86.36,86.66,5552646.0,WMT
2014-12-24,86.97,87.065,86.39,86.43,2491789.0,WMT
2014-12-26,86.18,87.14,86.01,86.91,3249266.0,WMT
2014-12-29,86.46,87.07,86.4,86.64,3605617.0,WMT
2014-12-30,86.52,87.13,86.48,86.79,3265377.0,WMT
2014-12-31,87.08,87.44,85.86,85.88,4151386.0,WMT
2015-01-02,86.27,86.72,85.545,85.9,4501838.0,WMT
2015-01-05,85.72,86.32,85.51,85.65,6978986.0,WMT
2015-01-06,85.98,86.75,85.79,86.31,8205145.0,WMT
2015-01-07,86.78,88.68,86.67,88.6,8498428.0,WMT
2015-01-08,89.21,90.665,89.07,90.47,12713559.0,WMT
2015-01-09,90.32,90.39,89.25,89.35,8522505.0,WMT
2015-01-12,89.36,90.31,89.22,90.02,7372534.0,WMT
2015-01-13,90.8,90.97,88.93,89.31,8215406.0,WMT
2015-01-14,87.65,88.52,86.5,86.61,11954333.0,WMT
2015-01-15,87.0,87.78,86.7,87.38,9412733.0,WMT
2015-01-16,87.2,87.46,86.23,86.77,8408926.0,WMT
2015-01-20,86.82,87.7,85.552,86.69,7853065.0,WMT
2015-01-21,86.1,86.91,85.71,86.64,8174202.0,WMT
2015-01-22,87.23,88.395,86.86,88.3,7123834.0,WMT
2015-01-23,88.42,89.26,87.89,88.51,7565786.0,WMT
2015-01-26,88.31,89.16,88.12,88.63,4666660.0,WMT
2015-01-27,88.28,88.46,87.26,87.53,6020450.0,WMT
2015-01-28,88.02,88.23,86.77,86.82,5936775.0,WMT
2015-01-29,87.07,87.72,86.27,87.72,6522794.0,WMT
2015-01-30,86.78,87.36,84.9,84.98,10280220.0,WMT
2015-02-02,84.79,85.87,83.93,85.71,6927168.0,WMT
2015-02-03,85.83,86.525,85.66,86.19,8283477.0,WMT
2015-02-04,86.11,87.035,86.0,86.65,8932258.0,WMT
2015-02-05,87.11,87.36,86.56,87.28,5090777.0,WMT
2015-02-06,87.26,88.0,86.78,87.33,5617641.0,WMT
2015-02-09,86.97,87.19,85.64,85.91,5456247.0,WMT
2015-02-10,86.62,87.41,86.42,87.29,5732061.0,WMT
2015-02-11,86.63,87.12,85.92,86.34,5853068.0,WMT
2015-02-12,86.56,86.68,85.23,85.89,6941569.0,WMT
2015-02-13,85.84,86.16,85.32,85.81,5597012.0,WMT
2015-02-17,85.43,85.97,84.97,85.96,5087189.0,WMT
2015-02-18,85.98,86.3,85.52,86.29,6032699.0,WMT
2015-02-19,84.5,84.8,83.39,83.52,18646754.0,WMT
2015-02-20,82.73,84.38,82.55,84.3,13840389.0,WMT
2015-02-23,84.39,84.86,84.23,84.6,6730435.0,WMT
2015-02-24,84.52,84.82,83.92,84.57,5197741.0,WMT
2015-02-25,84.63,84.716,83.52,83.57,6808428.0,WMT
2015-02-26,83.85,83.86,83.27,83.8,5888139.0,WMT
2015-02-27,83.72,84.16,83.4,83.93,5877422.0,WMT
2015-03-02,83.89,84.0,83.2,83.96,6061495.0,WMT
2015-03-03,83.66,83.82,83.17,83.37,6460768.0,WMT
2015-03-04,83.21,83.21,82.2,82.58,6214421.0,WMT
2015-03-05,83.15,83.87,82.96,83.57,5997522.0,WMT
2015-03-06,82.81,83.1,82.375,82.59,5731008.0,WMT
2015-03-09,82.59,83.34,82.54,82.88,4671505.0,WMT
2015-03-10,82.27,82.5,82.07,82.07,6311098.0,WMT
2015-03-11,81.82,81.97,80.54,80.69,6160869.0,WMT
2015-03-12,80.81,82.12,80.78,81.9,5225826.0,WMT
2015-03-13,81.95,82.25,81.29,81.9,4762226.0,WMT
2015-03-16,82.45,83.37,82.44,83.29,6519099.0,WMT
2015-03-17,82.98,83.01,82.24,82.62,4801973.0,WMT
2015-03-18,81.98,82.96,81.155,82.53,10252336.0,WMT
2015-03-19,82.33,82.44,81.37,81.52,7212928.0,WMT
2015-03-20,81.83,83.49,81.71,83.24,12365307.0,WMT
2015-03-23,83.18,83.9,83.12,83.31,6505721.0,WMT
2015-03-24,83.19,83.71,82.96,83.05,5359147.0,WMT
2015-03-25,83.09,83.25,81.31,81.32,6645873.0,WMT
2015-03-26,80.93,82.31,80.65,81.89,8267163.0,WMT
2015-03-27,81.85,82.18,81.245,81.35,5717385.0,WMT
2015-03-30,81.7,82.8,81.43,82.53,5701696.0,WMT
2015-03-31,82.39,83.04,82.25,82.25,5587701.0,WMT
2015-04-01,82.28,82.28,80.43,80.71,8306662.0,WMT
2015-04-02,80.73,81.315,80.55,80.73,5795731.0,WMT
2015-04-06,80.46,81.33,80.15,80.99,6380720.0,WMT
2015-04-07,81.09,81.29,80.46,80.5,6606095.0,WMT
2015-04-08,80.39,81.23,80.36,81.03,6694715.0,WMT
2015-04-09,80.84,81.39,80.58,80.84,3923559.0,WMT
2015-04-10,80.86,81.0,80.5452,80.65,5480618.0,WMT
2015-04-13,80.4,80.92,80.27,80.29,4698111.0,WMT
2015-04-14,80.29,80.42,79.68,80.15,5531712.0,WMT
2015-04-15,80.58,80.98,79.651,79.74,6200361.0,WMT
2015-04-16,79.5,79.89,79.13,79.24,8015088.0,WMT
2015-04-17,78.94,79.15,77.55,77.88,11822777.0,WMT
2015-04-20,78.39,78.83,78.02,78.14,8847616.0,WMT
2015-04-21,78.61,78.84,77.905,78.03,6200236.0,WMT
2015-04-22,77.73,78.64,77.55,78.43,7594683.0,WMT
2015-04-23,78.38,79.54,78.2,79.18,7468851.0,WMT
2015-04-24,79.38,80.93,79.24,79.84,6867845.0,WMT
2015-04-27,79.77,79.86,79.29,79.37,6449809.0,WMT
2015-04-28,79.46,79.48,78.77,79.1,4895876.0,WMT
2015-04-29,78.7,78.7849,77.79,77.88,7108407.0,WMT
2015-04-30,77.83,78.48,77.59,78.05,8795903.0,WMT
2015-05-01,78.2,78.76,78.1702,78.6,5000017.0,WMT
2015-05-04,78.98,79.545,78.46,79.18,6669210.0,WMT
2015-05-05,79.01,79.01,78.06,78.13,5855414.0,WMT
2015-05-06,77.92,78.12,77.17,77.65,5480055.0,WMT
2015-05-07,77.73,78.34,77.3,78.03,5538289.0,WMT
2015-05-08,78.6,79.25,78.4,78.53,5347396.0,WMT
2015-05-11,78.32,78.6099,78.03,78.1,3744882.0,WMT
2015-05-12,78.02,79.48,77.87,78.96,8448963.0,WMT
2015-05-13,79.18,79.43,77.98,78.16,8421167.0,WMT
2015-05-14,78.37,78.77,78.02,78.72,6170246.0,WMT
2015-05-15,78.71,79.25,78.57,79.24,6617173.0,WMT
2015-05-18,79.37,79.94,79.16,79.92,8300267.0,WMT
2015-05-19,78.18,78.36,76.23,76.43,22458581.0,WMT
2015-05-20,76.48,76.5,75.83,75.9,10541876.0,WMT
2015-05-21,75.8,76.42,75.56,76.11,6756162.0,WMT
2015-05-22,76.2,76.38,75.86,75.86,6815006.0,WMT
2015-05-26,75.77,75.83,74.815,74.9,10573616.0,WMT
2015-05-27,75.01,75.51,75.0,75.19,6987068.0,WMT
2015-05-28,75.07,75.16,74.65,74.84,5025471.0,WMT
2015-05-29,74.82,74.88,74.15,74.27,6375067.0,WMT
2015-06-01,74.69,75.08,74.41,74.73,5646037.0,WMT
2015-06-02,74.54,75.0,74.42,74.53,5797834.0,WMT
2015-06-03,74.7,75.2,74.475,74.89,6093825.0,WMT
2015-06-04,74.46,74.98,73.95,74.15,8982797.0,WMT
2015-06-05,74.17,74.27,72.98,73.06,10635085.0,WMT
2015-06-08,73.43,73.49,72.6,72.61,9592958.0,WMT
2015-06-09,72.7,72.85,72.36,72.47,8335572.0,WMT
2015-06-10,72.71,73.33,72.3364,72.93,11215817.0,WMT
2015-06-11,73.23,73.67,72.84,72.94,7419959.0,WMT
2015-06-12,72.74,72.9,72.4,72.43,7246589.0,WMT
2015-06-15,72.2,72.4,71.7,71.93,7566777.0,WMT
2015-06-16,72.22,72.58,71.72,72.35,6215625.0,WMT
2015-06-17,72.63,72.9,72.34,72.73,5703861.0,WMT
2015-06-18,72.74,73.48,72.74,72.98,8376621.0,WMT
2015-06-19,72.8,73.22,72.7,72.74,14550688.0,WMT
2015-06-22,72.98,73.1899,72.695,72.79,6489463.0,WMT
2015-06-23,72.89,72.94,72.34,72.57,7876315.0,WMT
2015-06-24,72.56,72.65,72.14,72.38,7338351.0,WMT
2015-06-25,72.45,72.63,71.83,71.86,5293151.0,WMT
2015-06-26,71.96,72.46,71.87,72.12,6897822.0,WMT
2015-06-29,71.8,72.0,71.41,71.42,8187836.0,WMT
2015-06-30,71.81,71.81,70.78,70.93,11102559.0,WMT
2015-07-01,71.6,71.95,70.36,71.88,10773904.0,WMT
2015-07-02,72.02,72.56,71.66,71.86,6586071.0,WMT
2015-07-06,71.38,72.69,71.38,72.53,10536477.0,WMT
2015-07-07,72.66,73.86,72.0,73.79,12421297.0,WMT
2015-07-08,73.3,73.59,72.9,73.06,7790963.0,WMT
2015-07-09,73.67,73.73,72.71,72.78,8695824.0,WMT
2015-07-10,73.08,73.5501,73.08,73.12,5579323.0,WMT
2015-07-13,73.51,74.105,73.51,73.88,6084498.0,WMT
2015-07-14,73.98,74.09,73.4838,73.79,5518153.0,WMT
2015-07-15,73.59,73.9,73.19,73.65,4566724.0,WMT
2015-07-16,73.97,74.14,73.76,73.83,5231727.0,WMT
2015-07-17,73.74,74.07,73.31,73.39,5680568.0,WMT
2015-07-20,73.35,73.44,73.0599,73.1,5085621.0,WMT
2015-07-21,73.1,73.29,72.53,72.74,6441071.0,WMT
2015-07-22,72.78,73.82,72.78,73.16,6961551.0,WMT
2015-07-23,73.07,73.22,72.42,72.51,4252929.0,WMT
2015-07-24,72.53,72.56,71.5,71.58,5951117.0,WMT
2015-07-27,71.38,71.65,71.01,71.38,6197584.0,WMT
2015-07-28,71.53,72.39,71.23,72.1,8592296.0,WMT
2015-07-29,72.25,72.63,72.09,72.23,4939670.0,WMT
2015-07-30,72.03,72.53,71.7803,72.16,4604530.0,WMT
2015-07-31,72.44,72.49,71.663,71.98,7928371.0,WMT
2015-08-03,71.84,72.38,71.84,72.18,5131845.0,WMT
2015-08-04,72.42,72.8,71.93,72.25,5873371.0,WMT
2015-08-05,72.39,73.695,72.25,73.51,8715807.0,WMT
2015-08-06,73.35,73.38,72.66,72.79,6367735.0,WMT
2015-08-07,72.71,72.825,71.17,71.25,7797473.0,WMT
2015-08-10,71.5,71.75,71.34,71.48,6020087.0,WMT
2015-08-11,71.25,72.37,71.15,71.93,6829195.0,WMT
2015-08-12,71.53,72.66,71.27,72.58,8903056.0,WMT
2015-08-13,72.4,72.77,71.97,72.11,7652355.0,WMT
2015-08-14,72.3,72.6,72.04,72.38,5912505.0,WMT
